cusip,name,type,issuedate,maturitydate,originalface
36225AWX4,780662,SP,19971001,20261215,16083040
36225AW97,780672,SP,19971101,20271120,100005000
36225AXA3,780673,SP,19971101,20271120,200005000
36225AXD7,780676,SP,19971101,20271115,40005000
36225AXF2,780678,SP,19971101,20271115,200005000
36225AXH8,780680,SP,19971101,20271115,303055000
36225AXJ4,780681,SP,19971201,20250615,33140430
36225AXM7,780684,SP,19971201,20271215,25775202
36225AXN5,780685,SP,19971201,20271215,297005000
36225AXS4,780689,SP,19971201,20271215,167699398
36225AXT2,780690,SP,19971201,20271220,325005000
36225AXV7,780692,SP,19971201,20271220,150005000
36225AYM6,780716,SP,19980201,20280215,143965012
36225AYN4,780717,SP,19980201,20280215,125002768
36225AYP9,780718,SP,19980201,20261215,80005000
36225AYR5,780720,SP,19980201,20251215,90005000
36225AYS3,780721,SP,19980201,20280220,220893778
36225AYZ7,780728,SP,19980301,20280315,110114545
36225AY46,780731,SP,19980301,20280315,75005000
36225AY53,780732,SP,19980301,20280315,134294191
36225AY79,780734,SP,19980301,20280315,225005000
36225AZA1,780737,SP,19980301,20280315,50009861
36225AZD5,780740,SP,19980301,20280320,19600733
36225AZG8,780743,SP,19980301,20261215,150005000
36225AZL7,780747,SP,19980301,20280315,445505000
36225AZM5,780748,SP,19980301,20280320,250030003
36225AZN3,780749,SP,19980301,20280320,250030003
36225AZP8,780750,SP,19980301,20271215,126310188
36225AZQ6,780751,SP,19980301,20280215,60335083
36225A2B5,780770,SP,19980401,20280415,290126814
36225A2E9,780773,SP,19980401,20280415,150067417
36225A2H2,780776,SP,19980401,20280415,202005000
36225A2J8,780777,SP,19980401,20280415,150605000
36225A2V1,780788,SP,19980501,20280415,100005000
36225A3A6,780793,SP,19980501,20280515,249485000
36225A3C2,780795,SP,19980501,20271115,40005000
36225A3E8,780797,SP,19980501,20280515,297005000
36225A3F5,780798,SP,19980501,20271215,222812087
36225A3G3,780799,SP,19980501,20280515,52505000
36225A3K4,780802,SP,19980501,20280515,303960825
36225A3L2,780803,SP,19980501,20280515,220135164
36225A3T5,780810,SP,19980601,20280615,100005000
36225A3U2,780811,SP,19980601,20280515,150005000
36225A3V0,780812,SP,19980601,20271115,10313053
36225A3W8,780813,SP,19980601,20280615,336005000
36225A3X6,780814,SP,19980601,20280615,100005000
36225A4A5,780817,SP,19980601,20280615,101077999
36225A4E7,780821,SP,19980701,20280115,101192047
36225A4F4,780822,SP,19980701,20280715,55005000
36225A4H0,780824,SP,19980701,20280715,207646849
36225A4J6,780825,SP,19980701,20280715,350005000
36225A4L1,780827,SP,19980701,20280715,200005000
36225A4M9,780828,SP,19980701,20280715,40655000
36225A4T4,780834,SP,19980701,20271115,151500000
36225A4Z0,780840,SP,19980801,20280720,50481024
36225A5B2,780842,SP,19980801,20280820,11681750
36225A5E6,780845,SP,19980801,20280815,40005000
36225A5J5,780849,SP,19980901,20270215,300107190
36225A5K2,780850,SP,19980901,20280115,200032433
36225A5L0,780851,SP,19980901,20271215,28000000
36225A5V8,780860,SP,19980901,20280915,303005000
36225A5Z9,780864,SP,19980901,20280915,56005000
36225A6J4,780873,SP,19981001,20281015,148422810
36225A6M7,780876,SP,19981001,20280515,50005000
36225A6N5,780877,SP,19981001,20281015,1077667928
36225A6P0,780878,SP,19981001,20271215,252502799
36225A6S4,780881,SP,19981001,20281015,198005000
36225A6T2,780882,SP,19981001,20250915,10459983
36225A6U9,780883,SP,19981001,20261215,449635062
36225A6V7,780884,SP,19981001,20281015,803266427
36225A7B0,780890,SP,19981101,20271115,200539975
36225A7D6,780892,SP,19981101,20281115,102323702
36225A7E4,780893,SP,19981101,20281115,25005000
36225A7F1,780894,SP,19981101,20281115,151505000
36225A7H7,780896,SP,19981101,20281115,255611152
36225A7K0,780898,SP,19981101,20281115,100045914
36225BAE8,780905,SP,19981101,20280915,184860000
36225BAH1,780908,SP,19981101,20281115,75005000
36225BAK4,780910,SP,19981101,20281115,192800000
36225BAL2,780911,SP,19981101,20271215,251271302
36225BAM0,780912,SP,19981101,20281115,440703750
36225BAP3,780914,SP,19981101,20281115,596975000
36225BAQ1,780915,SP,19981101,20280915,100005000
36225BAS7,780917,SP,19981101,20281115,108496717
36225BAY4,780923,SP,19981101,20261215,27958000
36225BAZ1,780924,SP,19981101,20280715,39390879
36225BA81,780931,SP,19981201,20281215,199734313
36225BA99,780932,SP,19981201,20281215,100964642
36225BBA5,780933,SP,19981201,20281215,239375000
36225BBD9,780936,SP,19981201,20281215,808005000
36225BBE7,780937,SP,19981201,20281215,52046024
36225BBF4,780938,SP,19981201,20271215,101005000
36225BBG2,780939,SP,19981201,20281115,50505000
36225BBJ6,780941,SP,19981201,20281215,1000005000
36225BBT4,780950,SP,19990101,20281215,100032346
36225BBU1,780951,SP,19990101,20290115,102790212
36225BBZ0,780956,SP,19990101,20290115,200004998
36225BB31,780958,SP,19990101,20290115,130005000
36225BB64,780961,SP,19990101,20280915,148505000
36225BB72,780962,SP,19990101,20281215,1000005002
36225BB80,780963,SP,19990101,20280815,252647102
36225BCD8,780968,SP,19990201,20270915,29375530
36225BCK2,780974,SP,19990201,20280815,25005000
36225BCL0,780975,SP,19990201,20290215,100005000
36225BCN6,780977,SP,19990201,20281215,1000763807
36225BC22,780989,SP,19990301,20250715,10268368
36225BC30,780990,SP,19990301,20281215,176753000
36225BC55,780992,SP,19990301,20281215,201880000
36225BC71,780994,SP,19990301,20290315,348031305
36225BC89,780995,SP,19990301,20281215,113680000
36225BDC9,780999,SP,19990301,20290320,200005000
36225BDE5,781001,SP,19990301,20290315,200005000
36225BDK1,781006,SP,19990301,20290315,33005000
36225BDL9,781007,SP,19990301,20290315,200005000
36225BDM7,781008,SP,19990301,20290315,36005000
36225BDT2,781014,SP,19990401,20290415,303104772
36225BDU9,781015,SP,19990401,20290320,30005000
36225BDW5,781017,SP,19990401,20290415,65058723
36225BDX3,781018,SP,19990401,20280915,100004999
36225BDY1,781019,SP,19990401,20290315,50004999
36225BDZ8,781020,SP,19990401,20290420,100005000
36225BD21,781021,SP,19990401,20281220,50005000
36225BD39,781022,SP,19990401,20251215,40269606
36225BD47,781023,SP,19990401,20241215,34558823
36225BD54,781024,SP,19990401,20290215,650005000
36225BD88,781027,SP,19990401,20290415,36505000
36225BEA2,781029,SP,19990501,20290515,1019411954
36225BEC8,781031,SP,19990501,20290315,115005000
36225BED6,781032,SP,19990501,20290415,100029000
36225BEG9,781035,SP,19990501,20290515,500005000
36225BEK0,781038,SP,19990501,20290515,1014780681
36225BEL8,781039,SP,19990501,20290515,506005000
36225BEN4,781041,SP,19990501,20290515,100005000
36225BEP9,781042,SP,19990601,20281115,63005000
36225BEQ7,781043,SP,19990601,20290515,197175000
36225BES3,781045,SP,19990601,20290620,100005000
36225BET1,781046,SP,19990601,20290615,230005000
36225BEU8,781047,SP,19990601,20290615,88697969
36225BEV6,781048,SP,19990601,20290615,800005000
36225BEY0,781051,SP,19990601,20290520,40005000
36225BEZ7,781052,SP,19990601,20290615,37005000
36225BE20,781053,SP,19990601,20271215,20005000
36225BE38,781054,SP,19990601,20251020,85023000
36225BE46,781055,SP,19990601,20290220,199566283
36225BE53,781056,SP,19990601,20281215,100005000
36225BE61,781057,SP,19990601,20290615,100005000
36225BE87,781059,SP,19990601,20290415,510005000
36225BE95,781060,SP,19990701,20271115,101496858
36225BFA1,781061,SP,19990701,20280515,192014687
36225BFB9,781062,SP,19990701,20280315,135745809
36225BFD5,781064,SP,19990701,20270915,11068935
36225BFG8,781067,SP,19990701,20271015,245544293
36225BFK9,781070,SP,19990701,20290715,590005000
36225BFL7,781071,SP,19990701,20290715,500005000
36225BFN3,781073,SP,19990801,20290715,103022721
36225BFP8,781074,SP,19990801,20290715,200005000
36225BFR4,781076,SP,19990801,20290815,300005325
36225BFS2,781077,SP,19990801,20290815,200005000
36225BFT0,781078,SP,19990801,20290815,100005000
36225BFU7,781079,SP,19990801,20290815,374305000
36225BFV5,781080,SP,19990801,20290815,150005000
36225BFY9,781083,SP,19990901,20290915,100005000
36225BF29,781085,SP,19990901,20290915,150005000
36225BF37,781086,SP,19990901,20290915,200005000
36225BF45,781087,SP,19990901,20290915,200005000
36225BF52,781088,SP,19990901,20290915,50005000
36225BF60,781089,SP,19990901,20290915,350005000
36225BF86,781091,SP,19990901,20290920,110005000
36225BGB8,781094,SP,19991001,20291015,100005003
36225BGD4,781096,SP,19991001,20281215,1014000000
36225BGE2,781097,SP,19991001,20291015,116080000
36225BGM4,781104,SP,19991001,20281115,129342734
36225BGN2,781105,SP,19991001,20281215,79266368
36225BGQ5,781107,SP,19991101,20291015,150005000
36225BGU6,781111,SP,19991101,20291115,50005000
36225BGV4,781112,SP,19991101,20291115,50005000
36225BGW2,781113,SP,19991101,20291115,2000029393
36225BGX0,781114,SP,19991101,20290415,100005000
36225BGY8,781115,SP,19991201,20291115,62565666
36225BGZ5,781116,SP,19991201,20291015,100008685
36225BG36,781118,SP,19991201,20291015,1161904506
36225BG44,781119,SP,19991201,20290715,25417593
36225BG51,781120,SP,19991201,20291215,539004954
36225BG69,781121,SP,19991201,20291215,400005000
36225BG77,781122,SP,19991201,20291215,500080683
36225BG85,781123,SP,19991201,20291215,750000000
36225BG93,781124,SP,19991201,20291215,750005000
36225BHB7,781126,SP,20000101,20250915,10937790
36225BHD3,781128,SP,20000101,20291220,29688241
36225BHE1,781129,SP,20000101,20281115,150005000
36225BHF8,781130,SP,20000101,20300115,500005000
36225BHH4,781132,SP,20000201,20300115,100010000
36225BHJ0,781133,SP,20000201,20300115,112701455
36225BHK7,781134,SP,20000201,20300215,25005000
36225BHL5,781135,SP,20000201,20291215,116830000
36225BHM3,781136,SP,20000201,20281215,60005000
36225BHN1,781137,SP,20000201,20300115,25005000
36225BHU5,781143,SP,20000301,20300315,15005000
36225BHV3,781144,SP,20000301,20300315,60654441
36225BHW1,781145,SP,20000301,20300315,51299870
36225BHY7,781147,SP,20000301,20300215,356737797
36225BHZ4,781148,SP,20000301,20290715,1143272203
36225BJA7,781157,SP,20000401,20300315,100005000
36225BJB5,781158,SP,20000401,20300415,100005000
36225BJC3,781159,SP,20000401,20300415,300005000
36225BJD1,781160,SP,20000401,20300415,200005000
36225BJG4,781163,SP,20000401,20300415,109246308
36225BJH2,781164,SP,20000401,20300415,50053970
36225BJK5,781166,SP,20000401,20300415,125005000
36225BJS8,781173,SP,20000501,20281215,28005000
36225BJV1,781176,SP,20000501,20281215,158305000
36225BJW9,781177,SP,20000501,20300515,44673830
36225BJ41,781183,SP,20000601,20300515,100005000
36225BJ58,781184,SP,20000601,20241215,78926450
36225BJ66,781185,SP,20000601,20300515,25005000
36225BJ74,781186,SP,20000601,20300615,11224759
36225BJ82,781187,SP,20000601,20300615,250005000
36225BJ90,781188,SP,20000601,20300620,65005000
36225BKB3,781190,SP,20000701,20300615,131338780
36225BKC1,781191,SP,20000701,20300615,50005000
36225BKF4,781194,SP,20000701,20300715,101005000
36225BKG2,781195,SP,20000701,20300715,100005000
36225BKH0,781196,SP,20000701,20300715,32005000
