cusip,interestrate,remainingbalance,factor,gwac,wam,wala,indicator,istbaelig,cpr,date,cdr,predictedcpr,predictedcprnext,predictedcdr,predictedcdrnext,cprnext,cdrnext
36225ASR2,7.5,80262.97,.0004013,8,23,333,,,,2024-08-01,,,,,,,
36225AST8,7.5,59371.49,.00029391,8,23,333,,,,2024-08-01,,,,,,,
36225ASV3,7.5,195004.2,.00064358,8,26,331,,,,2024-08-01,,,,,,,
36225AS27,6,20062.51,.00079439,6.5,18,341,,,,2024-08-01,,,,,,,
36225AS68,6,24084.54,.00083035,6.5,18,340,,,,2024-08-01,,,,,,,
36225AS92,8.5,2798.5,.00005548,9,10,348,,,,2024-08-01,,,,,,,
36225ATA8,7.5,64022.76,.00063366,8,26,332,,,,2024-08-01,,,,,,,
36225ATB6,7.5,80361.57,.00039781,8,24,332,,,,2024-08-01,,,,,,,
36225ATG5,7.5,41667.36,.00041665,8,28,329,,,,2024-08-01,,,,,,,
36225ATH3,8.5,6697.94,.00012921,9,11,346,,,,2024-08-01,,,,,,,
36225ATT7,8.5,10703.05,.00042388,9,26,333,,,,2024-08-01,,,,,,,
36225ATU4,8,5.58,.00000005,8.5,2,358,,,,2024-08-01,,,,,,,
36225ATV2,8.5,10368.64,.00020529,9,17,328,,,,2024-08-01,,,,,,,
36225AT34,7,430744.71,.00043074,7.5,24,332,,,,2024-08-01,,,,,,,
36225AUC2,7,77584.81,.0007758,7.5,20,339,,,,2024-08-01,,,,,,,
36225AUD0,7.5,130864.79,.00037439,8,28,329,,,,2024-08-01,,,,,,,
36225AUG3,9,2423.2,.00001865,9.5,25,333,,,,2024-08-01,,,,,,,
36225AUH1,7,229718.4,.00030813,7.5,20,337,,,,2024-08-01,,,,,,,
36225AUJ7,8.25,8690.7,.00047383,8.75,33,327,,,,2024-08-01,,,,,,,
36225AUL2,7,49411.58,.00049409,7.5,20,338,,,,2024-08-01,,,,,,,
36225AUM0,7,76441.95,.00038605,7.5,18,339,,,,2024-08-01,,,,,,,
36225AUN8,7,42219.41,.00032281,7.5,20,338,,,,2024-08-01,,,,,,,
36225AUY4,9,1136.42,.00001505,9.5,3,357,,,,2024-08-01,,,,,,,
36225AU24,7,457401,.00045739,7.5,21,336,,,,2024-08-01,,,,,,,
36225AU40,7,86792.54,.0004361,7.5,20,337,,,,2024-08-01,,,,,,,
36225AVE7,7,88110.52,.00087171,7.5,25,332,,,,2024-08-01,,,,,,,
36225AVG2,6.5,464747.01,.00046474,7,18,340,,,,2024-08-01,,,,,,,
36225AVK3,8,43361.72,.00031509,8.5,29,328,,,,2024-08-01,,,,,,,
36225AVM9,8.5,10024.13,.00020046,9,20,336,,,,2024-08-01,,,,,,,
36225AVP2,8,84319.56,.00032555,8.5,28,327,,,,2024-08-01,,,,,,,
36225AVQ0,7,138893.84,.00041033,7.5,23,333,,,,2024-08-01,,,,,,,
36225AVR8,8,.08,0,8.5,2,358,,,,2024-08-01,,,,,,,
36225AVS6,7,106237.66,.0005251,7.5,27,328,,,,2024-08-01,,,,,,,
36225AVT4,7,120108.14,.00059458,7.5,26,332,,,,2024-08-01,,,,,,,
36225AVV9,8,21384.05,.00042763,8.5,28,330,,,,2024-08-01,,,,,,,
36225AVY3,7,62324,.0006232,7.5,32,326,,,,2024-08-01,,,,,,,
36225AV72,7,150841.73,.0007618,7.5,30,327,,,,2024-08-01,,,,,,,
36225AWB2,7,47727,.000477,7.5,28,327,,,,2024-08-01,,,,,,,
36225AWC0,8.5,293.57,.00000293,9,3,357,,,,2024-08-01,,,,,,,
36225AWD8,7,77206.15,.00056352,7.5,27,329,,,,2024-08-01,,,,,,,
36225AWK2,6.5,197210.39,.00065084,7,25,333,,,,2024-08-01,,,,,,,
36225AWL0,7,409695.34,.00054157,7.5,30,325,,,,2024-08-01,,,,,,,
36225AWN6,6.5,337014.91,.00055612,7,22,335,,,,2024-08-01,,,,,,,
36225AWP1,7,205042.45,.0010331,7.5,32,323,,,,2024-08-01,,,,,,,
36225AWQ9,6.5,71320.92,.00071209,7,26,331,,,,2024-08-01,,,,,,,
36225AWR7,6.5,141328.32,.00047101,7,20,338,,,,2024-08-01,,,,,,,
36225AWX4,9.5,60.66,.00000377,10,5,352,,,,2024-08-01,,,,,,,
36225AW97,7,89776.83,.00089772,7.805,32,323,,,,2024-08-01,,,,,,,
36225AXA3,7,179549.28,.00089772,7.805,32,323,,,,2024-08-01,,,,,,,
36225AXD7,7.5,31118.74,.00077787,8,34,323,,,,2024-08-01,,,,,,,
36225AXF2,6.5,118287.43,.00059142,7,23,334,,,,2024-08-01,,,,,,,
36225AXH8,6.5,170217.07,.00056167,7,22,336,,,,2024-08-01,,,,,,,
36225AXJ4,9,30.47,.00000091,9.5,4,356,,,,2024-08-01,,,,,,,
36225AXM7,6.5,16425.99,.00063727,7,35,324,,,,2024-08-01,,,,,,,
36225AXN5,6.5,135317.2,.0004556,7,20,338,,,,2024-08-01,,,,,,,
36225AXS4,6.5,123678.47,.0007375,7,35,322,,,,2024-08-01,,,,,,,
36225AXT2,7,231046.09,.0007109,7.79,33,322,,,,2024-08-01,,,,,,,
36225AXV7,7,98451.08,.00065631,7.774,31,323,,,,2024-08-01,,,,,,,
36225AYM6,7.5,34862.31,.00024215,8,21,325,,,,2024-08-01,,,,,,,
36225AYN4,7,139441.62,.0011155,7.5,36,320,,,,2024-08-01,,,,,,,
36225AYP9,8,37743.09,.00047175,8.5,21,337,,,,2024-08-01,,,,,,,
36225AYR5,8,4393.25,.00004881,8.5,13,346,,,,2024-08-01,,,,,,,
36225AYS3,7,193183.11,.00087455,7.777,33,320,,,,2024-08-01,,,,,,,
36225AYZ7,7.5,52539.79,.00047713,8,28,326,,,,2024-08-01,,,,,,,
36225AY46,7.5,35557.97,.00047407,8,33,321,,,,2024-08-01,,,,,,,
36225AY53,7,108067.49,.0008047,7.5,33,320,,,,2024-08-01,,,,,,,
36225AY79,6.5,228891.25,.00101727,7,37,317,,,,2024-08-01,,,,,,,
36225AZA1,7.5,24689.54,.00049369,8,25,331,,,,2024-08-01,,,,,,,
36225AZD5,8,5453.56,.00027823,8.715,20,336,,,,2024-08-01,,,,,,,
36225AZG8,8,45161.17,.00030106,8.5,19,338,,,,2024-08-01,,,,,,,
36225AZL7,6.5,417047.29,.00093612,7,37,318,,,,2024-08-01,,,,,,,
36225AZM5,7,178758.02,.00071494,7.768,34,321,,,,2024-08-01,,,,,,,
36225AZN3,7,178743.99,.00071489,7.768,34,321,,,,2024-08-01,,,,,,,
36225AZP8,8,54700.54,.00043306,8.5,25,332,,,,2024-08-01,,,,,,,
36225AZQ6,7.5,31191.81,.00051697,8,27,323,,,,2024-08-01,,,,,,,
36225A2B5,6,521342.29,.00179694,6.5,40,317,,,,2024-08-01,,,,,,,
36225A2E9,7,129475.13,.00086277,7.5,29,330,,,,2024-08-01,,,,,,,
36225A2H2,6.5,281441.8,.00139324,7,38,317,,,,2024-08-01,,,,,,,
36225A2J8,7,119333.59,.00079236,7.5,36,320,,,,2024-08-01,,,,,,,
36225A2V1,6.5,180879.27,.0018087,7,39,318,,,,2024-08-01,,,,,,,
36225A3A6,6.5,256965.63,.00102998,7,38,317,,,,2024-08-01,,,,,,,
36225A3C2,8.5,22798.38,.00056988,9,32,322,,,,2024-08-01,,,,,,,
36225A3E8,7,182667.61,.00061503,7.5,37,318,,,,2024-08-01,,,,,,,
36225A3F5,7.5,129456.61,.00058101,8,31,324,,,,2024-08-01,,,,,,,
36225A3G3,8,32308.76,.00061534,8.5,37,319,,,,2024-08-01,,,,,,,
36225A3K4,6.5,258531.13,.00085054,7,38,316,,,,2024-08-01,,,,,,,
36225A3L2,7,277908.17,.00126244,7.5,39,317,,,,2024-08-01,,,,,,,
36225A3T5,7.5,27567.49,.00027566,8,17,341,,,,2024-08-01,,,,,,,
36225A3U2,8,43456.95,.0002897,8.5,21,336,,,,2024-08-01,,,,,,,
36225A3V0,8.5,1766.65,.0001713,9,32,322,,,,2024-08-01,,,,,,,
36225A3W8,6.5,503936.2,.00149978,7,41,315,,,,2024-08-01,,,,,,,
36225A3X6,7.5,45172.42,.0004517,8,27,328,,,,2024-08-01,,,,,,,
36225A4A5,7.5,92143.57,.0009116,8,38,316,,,,2024-08-01,,,,,,,
36225A4E7,7.5,55708.81,.00055052,8,29,328,,,,2024-08-01,,,,,,,
36225A4F4,6.5,96508.67,.00175454,7,40,314,,,,2024-08-01,,,,,,,
36225A4H0,6.5,251800.57,.00121263,7,42,314,,,,2024-08-01,,,,,,,
36225A4J6,6.5,552176.18,.00157762,7,40,314,,,,2024-08-01,,,,,,,
36225A4L1,6.5,274876.82,.00137434,7,42,315,,,,2024-08-01,,,,,,,
36225A4M9,7.5,49191.91,.00120998,8,39,314,,,,2024-08-01,,,,,,,
36225A4T4,8.5,93870.97,.00061961,9,28,327,,,,2024-08-01,,,,,,,
36225A4Z0,8.5,43777.06,.00086719,9.155,31,327,,,,2024-08-01,,,,,,,
36225A5B2,8.5,8509.48,.00072844,9.302,27,321,,,,2024-08-01,,,,,,,
36225A5E6,6.5,68048.85,.001701,7,38,314,,,,2024-08-01,,,,,,,
36225A5J5,8,39375.49,.0001312,8.5,13,345,,,,2024-08-01,,,,,,,
36225A5K2,7.5,61771.03,.0003088,8,27,330,,,,2024-08-01,,,,,,,
36225A5L0,7.5,18339.33,.00065497,8,25,330,,,,2024-08-01,,,,,,,
36225A5V8,6,719175.57,.00237347,6.5,41,313,,,,2024-08-01,,,,,,,
36225A5Z9,6,86732.57,.00154865,6.5,38,315,,,,2024-08-01,,,,,,,
36225A6J4,7.5,119569.18,.00080559,8,32,323,,,,2024-08-01,,,,,,,
36225A6M7,8,33150.38,.00066294,8.5,29,327,,,,2024-08-01,,,,,,,
36225A6N5,7.5,718345.05,.00066657,8,34,321,,,,2024-08-01,,,,,,,
36225A6P0,8,129025.87,.00051098,8.5,26,331,,,,2024-08-01,,,,,,,
36225A6S4,8.5,29910.71,.00015106,9,30,321,,,,2024-08-01,,,,,,,
36225A6T2,9,149.17,.00001426,9.5,4,356,,,,2024-08-01,,,,,,,
36225A6U9,7.5,67803.7,.00015079,8,14,344,,,,2024-08-01,,,,,,,
36225A6V7,7.5,475541.37,.000592,8,31,326,,,,2024-08-01,,,,,,,
36225A7B0,8,105976.6,.00052845,8.5,22,335,,,,2024-08-01,,,,,,,
36225A7D6,6.5,165127.78,.00161377,7,44,311,,,,2024-08-01,,,,,,,
36225A7E4,6,46688.54,.00186716,6.5,45,309,,,,2024-08-01,,,,,,,
36225A7F1,6.5,87264.12,.00057598,7,41,313,,,,2024-08-01,,,,,,,
36225A7H7,7,263143.85,.00102946,7.5,42,313,,,,2024-08-01,,,,,,,
36225A7K0,7,132267.38,.00132206,7.5,42,315,,,,2024-08-01,,,,,,,
36225BAE8,7.5,86063.82,.00046556,8,31,322,,,,2024-08-01,,,,,,,
36225BAH1,7.5,96480.34,.00128631,8,39,315,,,,2024-08-01,,,,,,,
36225BAK4,8,184840.45,.00095871,8.5,40,313,,,,2024-08-01,,,,,,,
36225BAL2,8,120298.66,.00047876,8.5,25,330,,,,2024-08-01,,,,,,,
36225BAM0,6.5,607175.44,.00137774,7,41,313,,,,2024-08-01,,,,,,,
36225BAP3,6,1243946.33,.00208374,6.5,44,311,,,,2024-08-01,,,,,,,
36225BAQ1,8.5,51666.61,.00051664,9,24,332,,,,2024-08-01,,,,,,,
36225BAS7,8,83171.34,.00076657,8.5,30,324,,,,2024-08-01,,,,,,,
36225BAY4,9.5,2545.13,.00009103,10,9,344,,,,2024-08-01,,,,,,,
36225BAZ1,9,6045.77,.00015348,9.5,15,342,,,,2024-08-01,,,,,,,
36225BA81,7,272348.73,.00136355,7.5,39,313,,,,2024-08-01,,,,,,,
36225BA99,7,39914.45,.00039533,7.5,30,323,,,,2024-08-01,,,,,,,
36225BBA5,7,302934.82,.00126552,7.5,40,313,,,,2024-08-01,,,,,,,
36225BBD9,7.5,412528.74,.00051055,8,31,324,,,,2024-08-01,,,,,,,
36225BBE7,8,45264.22,.00086969,8.5,24,332,,,,2024-08-01,,,,,,,
36225BBF4,8,29792.48,.00029496,8.5,17,341,,,,2024-08-01,,,,,,,
36225BBG2,8.5,15433.47,.00030558,9,27,328,,,,2024-08-01,,,,,,,
36225BBJ6,6,2277266.56,.00227725,6.5,44,309,,,,2024-08-01,,,,,,,
36225BBT4,7,70433.95,.00070411,7.5,43,310,,,,2024-08-01,,,,,,,
36225BBU1,7,207321.39,.00201693,7.5,42,312,,,,2024-08-01,,,,,,,
36225BBZ0,7.5,144994.1,.00072495,8,32,322,,,,2024-08-01,,,,,,,
36225BB31,6,289612.86,.0022277,6.5,45,307,,,,2024-08-01,,,,,,,
36225BB64,8,97803.09,.00065858,8.5,28,328,,,,2024-08-01,,,,,,,
36225BB72,7.5,708407.9,.0007084,8,31,324,,,,2024-08-01,,,,,,,
36225BB80,7,227243.68,.00089945,7.5,35,318,,,,2024-08-01,,,,,,,
36225BCD8,9.5,1592.98,.00005422,10,6,353,,,,2024-08-01,,,,,,,
36225BCK2,8,23504.53,.00093999,8.5,31,325,,,,2024-08-01,,,,,,,
36225BCL0,6,158140.97,.00158133,6.5,46,307,,,,2024-08-01,,,,,,,
36225BCN6,7.5,563116.08,.00056268,8,29,327,,,,2024-08-01,,,,,,,
36225BC22,9.5,443.93,.00004323,10,7,352,,,,2024-08-01,,,,,,,
36225BC30,7.5,95167.89,.00053842,8,36,319,,,,2024-08-01,,,,,,,
36225BC55,8,94529.14,.00046824,8.5,26,329,,,,2024-08-01,,,,,,,
36225BC71,6,652589.53,.00187508,6.5,46,306,,,,2024-08-01,,,,,,,
36225BC89,7,118005.18,.00103804,7.5,42,313,,,,2024-08-01,,,,,,,
36225BDC9,6.5,266820.81,.00133407,7.263,46,309,,,,2024-08-01,,,,,,,
36225BDE5,7.5,268231.07,.00134112,8,37,319,,,,2024-08-01,,,,,,,
36225BDK1,7,67152.69,.00203462,7.5,47,310,,,,2024-08-01,,,,,,,
36225BDL9,6.5,272027.96,.0013601,7,50,307,,,,2024-08-01,,,,,,,
36225BDM7,6,112910.71,.00313597,6.5,47,306,,,,2024-08-01,,,,,,,
36225BDT2,6,856570.02,.00282598,6.5,49,306,,,,2024-08-01,,,,,,,
36225BDU9,8,16870.24,.00056224,8.711,26,329,,,,2024-08-01,,,,,,,
36225BDW5,7,47383.2,.00072831,7.5,38,316,,,,2024-08-01,,,,,,,
36225BDX3,7.5,73128.13,.00073124,8,29,327,,,,2024-08-01,,,,,,,
36225BDY1,7,61770.45,.00123528,7.5,39,314,,,,2024-08-01,,,,,,,
36225BDZ8,7.5,57435.57,.00057432,8.226,30,325,,,,2024-08-01,,,,,,,
36225BD21,8,29737.89,.00059469,8.712,22,335,,,,2024-08-01,,,,,,,
36225BD39,8,17079.17,.00042412,8.5,11,348,,,,2024-08-01,,,,,,,
36225BD47,8,14.38,.00000041,8.5,2,358,,,,2024-08-01,,,,,,,
36225BD54,7.5,470755.77,.00072423,8,29,326,,,,2024-08-01,,,,,,,
36225BD88,7,41072.34,.00112511,7.5,46,311,,,,2024-08-01,,,,,,,
36225BEA2,6.5,1465662.51,.00143775,7,47,307,,,,2024-08-01,,,,,,,
36225BEC8,7,120342.1,.0010464,7.5,39,313,,,,2024-08-01,,,,,,,
36225BED6,6.5,156924.44,.00156878,7,47,306,,,,2024-08-01,,,,,,,
36225BEG9,6.5,673480.14,.00134694,7,45,307,,,,2024-08-01,,,,,,,
36225BEK0,6.5,1651230.94,.00162718,7,47,307,,,,2024-08-01,,,,,,,
36225BEL8,6.5,736625.9,.00145576,7,48,306,,,,2024-08-01,,,,,,,
36225BEN4,7,165350.9,.00165342,7.5,49,304,,,,2024-08-01,,,,,,,
36225BEP9,8.5,51652.9,.00081982,9,30,328,,,,2024-08-01,,,,,,,
36225BEQ7,6,573396.8,.00290806,6.5,49,306,,,,2024-08-01,,,,,,,
36225BES3,8,59326.66,.00059323,8.684,25,331,,,,2024-08-01,,,,,,,
36225BET1,6,402898.57,.00175169,6.5,48,307,,,,2024-08-01,,,,,,,
36225BEU8,6,267427.9,.00301503,6.5,46,304,,,,2024-08-01,,,,,,,
36225BEV6,6.5,1355999.46,.00169498,7,49,305,,,,2024-08-01,,,,,,,
36225BEY0,8.5,31628.08,.0007906,9.111,29,328,,,,2024-08-01,,,,,,,
36225BEZ7,8.5,3562.67,.00009627,9,32,313,,,,2024-08-01,,,,,,,
36225BE20,7,16652.26,.0008324,7.5,35,322,,,,2024-08-01,,,,,,,
36225BE38,7,30459.53,.00035825,7.762,11,348,,,,2024-08-01,,,,,,,
36225BE46,7,232427.85,.00116466,7.752,42,312,,,,2024-08-01,,,,,,,
36225BE53,8,109750.42,.00109744,8.5,34,322,,,,2024-08-01,,,,,,,
36225BE61,5.5,155136.52,.00155128,6,45,306,,,,2024-08-01,,,,,,,
36225BE87,8,366160.22,.00071795,8.5,27,328,,,,2024-08-01,,,,,,,
36225BE95,8,43136.25,.000425,8.5,19,337,,,,2024-08-01,,,,,,,
36225BFA1,7.5,187338.01,.00097564,8,31,325,,,,2024-08-01,,,,,,,
36225BFB9,7.5,111101.77,.00081845,8,31,326,,,,2024-08-01,,,,,,,
36225BFD5,9,13531.46,.00122247,9.5,35,323,,,,2024-08-01,,,,,,,
36225BFG8,8,88506.41,.00036044,8.5,18,340,,,,2024-08-01,,,,,,,
36225BFK9,8,499222.28,.00084613,8.5,29,326,,,,2024-08-01,,,,,,,
36225BFL7,7,538600.87,.00107719,7.5,50,304,,,,2024-08-01,,,,,,,
36225BFN3,7.5,85193.82,.00082694,8,56,301,,,,2024-08-01,,,,,,,
36225BFP8,7.5,190577.87,.00095286,8,49,305,,,,2024-08-01,,,,,,,
36225BFR4,7,312748.21,.00104247,7.5,50,302,,,,2024-08-01,,,,,,,
36225BFS2,7,225888.54,.00112941,7.5,46,307,,,,2024-08-01,,,,,,,
36225BFT0,8.5,10874.45,.00010873,9,42,310,,,,2024-08-01,,,,,,,
36225BFU7,7.5,213024.68,.00056912,8,47,301,,,,2024-08-01,,,,,,,
36225BFV5,7.5,127651.62,.00085098,8,52,301,,,,2024-08-01,,,,,,,
36225BFY9,7.5,158137.33,.00158129,8,56,299,,,,2024-08-01,,,,,,,
36225BF29,8,32397.46,.00021597,8.5,54,299,,,,2024-08-01,,,,,,,
36225BF37,7.5,166838.45,.00083417,8,52,301,,,,2024-08-01,,,,,,,
36225BF45,8.5,66977.3,.00033487,9,41,311,,,,2024-08-01,,,,,,,
36225BF52,8.5,36305.9,.00072604,9,50,302,,,,2024-08-01,,,,,,,
36225BF60,7.5,429995.62,.00122854,8,53,300,,,,2024-08-01,,,,,,,
36225BF86,8,42381.55,.00038526,8.682,54,301,,,,2024-08-01,,,,,,,
36225BGB8,8,69960.25,.00069956,8.5,56,299,,,,2024-08-01,,,,,,,
36225BGD4,6.5,1450348.24,.00143032,7,44,310,,,,2024-08-01,,,,,,,
36225BGE2,8,94667.47,.00081553,8.5,55,299,,,,2024-08-01,,,,,,,
36225BGM4,6.5,252338.41,.00195092,7,40,313,,,,2024-08-01,,,,,,,
36225BGN2,6,183388.82,.00231357,6.5,40,312,,,,2024-08-01,,,,,,,
36225BGQ5,7,251743.93,.00167823,7.5,51,304,,,,2024-08-01,,,,,,,
36225BGU6,8,80972.37,.00161928,8.5,59,297,,,,2024-08-01,,,,,,,
36225BGV4,7,88508.83,.00176999,7.5,50,304,,,,2024-08-01,,,,,,,
36225BGW2,7,3075239.34,.00153759,7.5,51,303,,,,2024-08-01,,,,,,,
36225BGX0,6,264198.17,.00264184,6.5,47,308,,,,2024-08-01,,,,,,,
36225BGY8,9,18086.04,.00028907,9.5,29,298,,,,2024-08-01,,,,,,,
36225BGZ5,9,17055.27,.00017053,9.5,13,346,,,,2024-08-01,,,,,,,
36225BG36,6.5,1644009.38,.00141492,7,49,303,,,,2024-08-01,,,,,,,
36225BG44,6,35063.34,.00137949,6.5,50,303,,,,2024-08-01,,,,,,,
36225BG51,7,1055959.85,.00195909,7.5,51,303,,,,2024-08-01,,,,,,,
36225BG69,7,862029.33,.00215504,7.5,49,304,,,,2024-08-01,,,,,,,
36225BG77,7,724143.09,.00144805,7.5,51,303,,,,2024-08-01,,,,,,,
36225BG85,7,1239180.27,.00165224,7.5,49,304,,,,2024-08-01,,,,,,,
