cmo,cusip,faceincmo,date
2024-142-5,3618JB3J8, 1984235.00,2024-09-01
2024-142-5,3618JBZQ7, 4044509.00,2024-09-01
2024-142-5,3618JBZR5, 2883320.00,2024-09-01
2024-142-5,3618JBZS3, 1540030.00,2024-09-01
2024-142-5,3618JBZT1, 3046643.00,2024-09-01
2024-142-5,3618JC5N5, 10076772.00,2024-09-01
2024-142-5,3618JCBC2, 24929179.00,2024-09-01
2024-142-5,3618JEL45, 1629677.00,2024-09-01
2024-142-5,3618JEL52, 3893878.00,2024-09-01
2024-142-5,3618JFL67, 15015210.00,2024-09-01
2024-142-5,3618JJV43, 1110174.00,2024-09-01
2024-142-5,3618JJV50, 1265778.00,2024-09-01
2024-142-6A,3618HN6H5, 1376783.00,2024-09-01
2024-142-6A,3618HPWM0, 1163578.00,2024-09-01
2024-142-6A,3618HPZD7, 1020709.00,2024-09-01
2024-142-6A,3618HSUA2, 4307958.00,2024-09-01
2024-142-6A,3618J2DB4, 1050773.00,2024-09-01
2024-142-6B,3618H72W1, 1457514.00,2024-09-01
2024-142-6B,3618HSSU1, 1511568.00,2024-09-01
2024-142-6B,3618J03A1, 1032587.00,2024-09-01
2024-142-6B,3618J1WB5, 1708347.00,2024-09-01
2024-142-6B,3618J6CP5, 1497141.00,2024-09-01
2024-142-6B,3618J9ZM1, 2684788.00,2024-09-01
2024-142-6B,3618JACW1, 1485705.00,2024-09-01
2024-142-6B,3618JACX9, 1646333.00,2024-09-01
2024-142-6B,3618JBZF1, 1232583.00,2024-09-01
2024-142-6B,3618JBZG9, 1374011.00,2024-09-01
2024-142-6C,3618H72Y7, 3579808.00,2024-09-01
2024-142-6C,3618HS7B6, 1086695.00,2024-09-01
2024-142-6C,3618HSQZ2, 1041815.00,2024-09-01
2024-142-6C,3618J0GD1, 1314556.00,2024-09-01
2024-142-6C,3618J1ZV8, 1198498.00,2024-09-01
2024-142-6C,3618J3QT9, 1051364.00,2024-09-01
2024-142-6C,3618J7CX6, 1507275.00,2024-09-01
2024-142-6C,3618J86F0, 1140879.00,2024-09-01
2024-142-6C,3618J8VV7, 6063984.00,2024-09-01
2024-142-6C,3618J9ZQ2, 2781778.00,2024-09-01
2024-142-6C,3618JACU5, 1749675.00,2024-09-01
2024-142-6C,3618JBZH7, 1459875.00,2024-09-01
2024-142-6C,3618JEZU2, 1399687.00,2024-09-01
2024-142-6D,3618H72Z4, 3887934.00,2024-09-01
2024-142-6D,3618HLPP0, 2172133.00,2024-09-01
2024-142-6D,3618HSBQ8, 2269149.00,2024-09-01
2024-142-6D,3618HSSW7, 1693577.00,2024-09-01
2024-142-6D,3618HUXQ9, 1675123.00,2024-09-01
2024-142-6D,3618HYVG5, 5728633.00,2024-09-01
2024-142-6D,3618J1RF2, 1017495.00,2024-09-01
2024-142-6D,3618J6RA2, 1052771.00,2024-09-01
2024-142-6D,3618J9ZT6, 1488040.00,2024-09-01
2024-142-6D,3618JACS0, 2067237.00,2024-09-01
2024-142-6D,3618JFP55, 1078171.00,2024-09-01
2024-142-6D,3618JHHS0, 3015750.00,2024-09-01
2024-142-6E,3618H52U9, 1258414.00,2024-09-01
2024-142-6E,3618HGER9, 1755850.00,2024-09-01
2024-142-6E,3618HSSX5, 1671251.00,2024-09-01
2024-142-6E,3618HTGT5, 1171814.00,2024-09-01
2024-142-6E,3618HVSH3, 2825852.00,2024-09-01
2024-142-6E,3618HY7M9, 1910916.00,2024-09-01
2024-142-6E,3618J2VL2, 2996999.00,2024-09-01
2024-142-6E,3618J4BX4, 3194905.00,2024-09-01
2024-142-6E,3618J6HF2, 1012650.00,2024-09-01
2024-142-6E,3618J7CY4, 1045852.00,2024-09-01
2024-142-6E,3618J9ZX7, 2345847.00,2024-09-01
2024-142-6E,3618JACQ4, 1696414.00,2024-09-01
2024-142-6E,3618JFP48, 1260904.00,2024-09-01
2024-142-6F,3618HTWW0, 2163712.00,2024-09-01
2024-142-6F,3618J0AA3, 1935544.00,2024-09-01
2024-142-6F,3618J0UZ6, 3990045.00,2024-09-01
2024-142-6F,3618J3CM9, 1157660.00,2024-09-01
2024-142-6F,3618J9Z25, 2580934.00,2024-09-01
2024-142-6F,3618JBZL8, 4993095.00,2024-09-01
2024-142-6F,3618JELZ6, 1874295.00,2024-09-01
2024-142-6F,3618JJ2K9, 3818141.00,2024-09-01
2024-142-6G,3618GM4F4, 1122761.00,2024-09-01
2024-142-6G,3618HEV20, 121070.00,2024-09-01
2024-142-6G,3618HL2M2, 1182811.00,2024-09-01
2024-142-6G,3618HNS24, 1354606.00,2024-09-01
2024-142-6G,3618HSBN5, 1302738.00,2024-09-01
2024-142-6G,3618HSSZ0, 3938393.00,2024-09-01
2024-142-6G,3618HSVR4, 9223455.00,2024-09-01
2024-142-6G,3618HTWX8, 3000000.00,2024-09-01
2024-142-6G,3618J9Z58, 3565519.00,2024-09-01
2024-142-6G,3618JACP6, 3397780.00,2024-09-01
2024-142-6G,3618JB5A5, 2924092.00,2024-09-01
2024-142-6G,3618JBZM6, 5790332.00,2024-09-01
2024-142-6G,3618JEL29, 1045506.00,2024-09-01
2024-142-6G,3618JFP30, 1301164.00,2024-09-01
2024-142-6G,3618JJ2L7, 3070554.00,2024-09-01
2024-142-6H,3618HSWD4, 3765633.00,2024-09-01
2024-142-6H,3618HVQ36, 8826340.00,2024-09-01
2024-142-6H,3618J0UX1, 6000000.00,2024-09-01
2024-142-6H,3618J4BE6, 2595667.00,2024-09-01
2024-142-6H,3618J7W63, 4909882.00,2024-09-01
2024-142-6H,3618J8VW5, 5493159.00,2024-09-01
2024-142-6H,3618J9Z82, 3436658.00,2024-09-01
2024-142-6H,3618JBZN4, 3161922.00,2024-09-01
2024-142-6H,3618JEL37, 1153715.00,2024-09-01
2024-142-6H,3618JHHR2, 2866096.00,2024-09-01
2024-142-6H,3618JJV27, 194326.00,2024-09-01
2024-142-7A,3618AQZA8, 1054248.00,2024-09-01
2024-142-7A,3618AQZB6, 1599147.00,2024-09-01
2024-142-7A,3618AQZC4, 1321606.00,2024-09-01
2024-142-7A,3618AQZD2, 1147658.00,2024-09-01
2024-142-7A,3618G2F33, 5421919.00,2024-09-01
2024-142-7A,3618G2GB4, 1736696.00,2024-09-01
2024-142-7A,3618G2GC2, 2813821.00,2024-09-01
2024-142-7A,3618G2GD0, 4161829.00,2024-09-01
2024-142-7A,3618GCQQ8, 1496117.00,2024-09-01
2024-142-7A,3618HFRD8, 2550754.00,2024-09-01
2024-142-7A,3618HFTL8, 1045118.00,2024-09-01
2024-142-7A,3618HFTM6, 1065130.00,2024-09-01
2024-142-7A,3618HFTN4, 5382752.00,2024-09-01
2024-142-7A,3618HKEP4, 1088241.00,2024-09-01
2024-142-7A,3618HKEQ2, 4119273.00,2024-09-01
2024-142-7A,3618HT5G5, 2646167.00,2024-09-01
2024-142-7A,3618J5LT9, 1046567.00,2024-09-01
2024-142-7A,3618J5LU6, 8521559.00,2024-09-01
2024-142-7A,3618J9VJ2, 1274508.00,2024-09-01
2024-142-7A,3618J9VK9, 1701971.00,2024-09-01
2024-142-7A,3618J9VL7, 1497603.00,2024-09-01
2024-142-7A,3618J9VM5, 9848500.00,2024-09-01
2024-142-7B,3618HFTS3, 6147992.00,2024-09-01
2024-142-7B,3618HT5C4, 22923036.00,2024-09-01
2024-142-7B,3618J5L85, 7307515.00,2024-09-01
2024-142-8,38383LEH9, 25000000.00,2024-09-01
2024-142-9,3618G4KL3, 50000.00,2024-09-01
2024-142-9,3618GYYH1, 50000.00,2024-09-01
2024-142-9,3618H2BS1, 250000.00,2024-09-01
2024-142-9,3618H6QS6, 1230374.00,2024-09-01
2024-142-9,3618H7B50, 250000.00,2024-09-01
2024-142-9,3618H95N4, 100000.00,2024-09-01
2024-142-9,3618HA3U7, 250000.00,2024-09-01
2024-142-9,3618HBVD2, 500000.00,2024-09-01
2024-142-9,3618HCNZ0, 50000.00,2024-09-01
2024-142-9,3618HCYR6, 50000.00,2024-09-01
2024-142-9,3618HEF69, 500000.00,2024-09-01
2024-142-9,3618HJZC3, 50000.00,2024-09-01
2024-142-9,3618HLQJ3, 500000.00,2024-09-01
2024-142-9,3618HMBH1, 250000.00,2024-09-01
2024-142-9,3618HN6E2, 543207.00,2024-09-01
2024-142-9,3618HNER4, 500000.00,2024-09-01
2024-142-9,3618HNQR1, 250000.00,2024-09-01
2024-142-9,3618HPBL5, 250000.00,2024-09-01
2024-142-9,3618HPHG0, 250000.00,2024-09-01
2024-142-9,3618HV2P3, 652508.00,2024-09-01
2024-142-9,3618J3EF2, 607758.00,2024-09-01
2024-142-9,3618J62C5, 490824.00,2024-09-01
2024-142-9,3618J6LT7, 626025.00,2024-09-01
2024-142-9,3618JAFF5, 698372.00,2024-09-01
2024-142-9,3618JAJU8, 284000.00,2024-09-01
2024-142-9,3618JAQ63, 50000.00,2024-09-01
2024-142-9,3618JAQ71, 50000.00,2024-09-01
2024-142-9,3618JFPN6, 491194.00,2024-09-01
2024-142-10A,3618AXPL0, 21636.00,2024-09-01
2024-142-10A,3618BAXR7, 19823.00,2024-09-01
2024-142-10A,3618BAYH8, 24329.00,2024-09-01
2024-142-10A,3618BDAQ8, 45031.00,2024-09-01
2024-142-10A,3618G0VA3, 102355.00,2024-09-01
2024-142-10A,3618G4Q86, 21455.00,2024-09-01
2024-142-10A,3618G4Q94, 1622718.00,2024-09-01
2024-142-10A,3618G4RA0, 2356522.00,2024-09-01
2024-142-10A,3618G5HU4, 2553722.00,2024-09-01
2024-142-10A,3618G5HV2, 1547069.00,2024-09-01
2024-142-10A,3618G5HW0, 31013.00,2024-09-01
2024-142-10A,3618G5HX8, 32043.00,2024-09-01
2024-142-10A,3618G7TU7, 31089.00,2024-09-01
2024-142-10A,3618GH3Z2, 41923.00,2024-09-01
2024-142-10A,3618GH4A6, 21950.00,2024-09-01
2024-142-10A,3618GKCR3, 20311.00,2024-09-01
2024-142-10A,3618GLU83, 31057.00,2024-09-01
2024-142-10A,3618GQTQ4, 1453783.00,2024-09-01
2024-142-10A,3618HAU78, 1929715.00,2024-09-01
2024-142-10A,3618HAU86, 4265685.00,2024-09-01
2024-142-10A,3618HAU94, 5316545.00,2024-09-01
2024-142-10A,3618HJRF5, 1762300.00,2024-09-01
2024-142-10A,3618HK5C3, 1927653.00,2024-09-01
2024-142-10A,3618HK5D1, 2154516.00,2024-09-01
2024-142-10A,3618HK5E9, 2127290.00,2024-09-01
2024-142-10A,3618HUFR7, 2649099.00,2024-09-01
2024-142-10A,3622ACXP0, 713480.00,2024-09-01
2024-142-10A,3622ACXQ8, 1362205.00,2024-09-01
2024-142-10B,3618H54V5, 6498425.00,2024-09-01
2024-142-10B,3618HAU52, 9782938.00,2024-09-01
2024-142-10B,3618HAU60, 24577025.00,2024-09-01
2024-142-10B,3618HJRE8, 3009854.00,2024-09-01
2024-142-11,38384MHZ3, 20467418.00,2024-09-01
2024-142-12,38384GKF6, 4435737.00,2024-09-01
2024-142-12,38384JUB8, 11309872.00,2024-09-01
2024-142-12,38384JNH3, 5000000.00,2024-09-01
2024-142-13,38384VBA4, 7760000.00,2024-09-01
2024-142-13,38384VBD8, 5931000.00,2024-09-01
2024-142-14,3618BDTA3, 250000.00,2024-09-01
2024-142-14,3618G4JD3, 25000.00,2024-09-01
2024-142-14,3618H8BA7, 1320527.00,2024-09-01
2024-142-14,3618HHEV8, 25000.00,2024-09-01
2024-142-14,3618HHEW6, 25000.00,2024-09-01
2024-142-14,3618HHEX4, 1885376.00,2024-09-01
2024-142-14,3618HL4V0, 5193992.00,2024-09-01
2024-142-14,3618HL4W8, 13247064.00,2024-09-01
2024-142-14,3618HLX89, 2194170.00,2024-09-01
2024-142-14,3618HQ2G4, 2128489.00,2024-09-01
2024-142-14,3618HUMS7, 1658953.00,2024-09-01
2024-142-14,3618HVTK5, 3667854.00,2024-09-01
2024-142-14,3618HWH34, 1151981.00,2024-09-01
2024-142-14,3618HYMR1, 1219927.00,2024-09-01
