cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618HPZT2,DC8854,C,SF,20241001,20541020,2004691,False
3618HPZW5,DC8857,C,SF,20241001,20541020,3139447,False
3618HP3Y6,DC8915,C,SF,20241001,20541020,1095006,False
3618HP3Z3,DC8916,C,SF,20241001,20540920,1275894,False
3618HP4A7,DC8917,C,SF,20241001,20541020,1185128,False
3618HP4B5,DC8918,C,SF,20241001,20540920,1332391,False
3618HP4C3,DC8919,C,SF,20241001,20541020,1410953,False
3618HP4D1,DC8920,C,SF,20241001,20541020,1867593,False
3618HP4E9,DC8921,C,SF,20241001,20541020,1073731,False
3618HP4F6,DC8922,C,SF,20241001,20541020,1130012,False
3618HP4G4,DC8923,C,SF,20241001,20541020,1902151,False
3618HP4H2,DC8924,C,SF,20241001,20541020,1186987,False
3618HP4J8,DC8925,C,SF,20241001,20541020,2593845,False
3618HP4K5,DC8926,C,SF,20241001,20541020,1546474,False
3618HP4L3,DC8927,C,SF,20241001,20541020,8033754,False
3618HP4M1,DC8928,C,SF,20241001,20540920,3863498,False
3618HP4N9,DC8929,C,SF,20241001,20541020,1057147,False
3618HP4P4,DC8930,C,SF,20241001,20540920,3639185,False
3618HP4Q2,DC8931,C,SF,20241001,20541020,1535746,False
3618HP7D8,DC8992,C,SF,20241001,20541020,1334179,False
3618HP7E6,DC8993,C,SF,20241001,20541020,3885094,False
3618HP7F3,DC8994,C,SF,20241001,20541020,1216866,False
3618HP7G1,DC8995,C,SF,20241001,20541020,1575588,False
3618HP7H9,DC8996,C,SF,20241001,20541020,1431924,False
3618HP7J5,DC8997,C,SF,20241001,20541020,1337939,False
3618HP7K2,DC8998,C,SF,20241001,20541020,1530517,False
3618HP7L0,DC8999,C,SF,20241001,20541020,4017810,False
3618HP7M8,DC9000,C,SF,20241001,20541020,1140843,False
3618HQAA8,DC9001,C,SF,20241001,20541020,1703030,False
3618HQAB6,DC9002,C,SF,20241001,20541020,1028580,False
3618HQAC4,DC9003,C,SF,20241001,20541020,1045512,False
3618HQAD2,DC9004,C,SF,20241001,20541020,1350102,False
3618HQAE0,DC9005,C,SF,20241001,20541020,1476707,False
3618HQAF7,DC9006,C,SF,20241001,20541020,1299853,False
3618HQAG5,DC9007,C,SF,20241001,20541020,1151392,False
3618HQAH3,DC9008,C,SF,20241001,20541020,1164571,False
3618HQAJ9,DC9009,C,SF,20241001,20541020,3341688,False
3618HQAK6,DC9010,C,SF,20241001,20541020,2224998,False
3618HQAL4,DC9011,C,SF,20241001,20541020,1092322,False
3618HQAM2,DC9012,C,SF,20241001,20541020,1472723,False
3618HQAN0,DC9013,C,SF,20241001,20541020,1267096,False
3618HQAP5,DC9014,C,SF,20241001,20541020,1543948,False
3618HQAQ3,DC9015,C,SF,20241001,20541020,1173352,False
3618HQAR1,DC9016,C,SF,20241001,20541020,1804001,False
3618HQAS9,DC9017,C,SF,20241001,20541020,1113735,False
3618HQAT7,DC9018,C,SF,20241001,20541020,1486073,False
3618HQAU4,DC9019,C,SF,20241001,20541020,1689544,False
3618HQAV2,DC9020,C,SF,20241001,20541020,1154535,False
3618HQAW0,DC9021,C,SF,20241001,20541020,1261393,False
3618HQAX8,DC9022,C,SF,20241001,20541020,1548042,False
3618HQAY6,DC9023,C,SF,20241001,20541020,1298685,False
3618HQAZ3,DC9024,C,SF,20241001,20541020,1076597,False
3618HQA26,DC9025,C,SF,20241001,20541020,1185204,False
3618HQA34,DC9026,C,SF,20241001,20541020,3456003,False
3618HQA42,DC9027,C,SF,20241001,20541020,1289934,False
3618HQA59,DC9028,C,SF,20241001,20541020,1163634,False
3618HQA67,DC9029,C,SF,20241001,20541020,1395384,False
3618HQA75,DC9030,C,SF,20241001,20541020,2353211,False
3618HQBA7,DC9033,C,SF,20241001,20541020,1358520,False
3618HQBB5,DC9034,C,SF,20241001,20541020,1316421,False
3618HQBC3,DC9035,C,SF,20241001,20541020,2937444,False
3618HQBD1,DC9036,C,SF,20241001,20541020,3758134,False
3618HQBE9,DC9037,C,SF,20241001,20541020,1194681,False
3618HQBF6,DC9038,C,SF,20241001,20541020,2089711,False
3618HQBG4,DC9039,C,SF,20241001,20541020,1344628,False
3618HQBH2,DC9040,C,SF,20241001,20541020,1811017,False
3618HQBJ8,DC9041,C,SF,20241001,20541020,1102851,False
3618HQBK5,DC9042,C,SF,20241001,20541020,1861709,False
3618HQBQ2,DC9047,C,SF,20241001,20541020,1599492,False
3618HQBR0,DC9048,C,SF,20241001,20541020,1452574,False
3618HQBS8,DC9049,C,SF,20241001,20541020,3905431,False
3618HQBT6,DC9050,C,SF,20241001,20541020,1150491,False
3618HQBU3,DC9051,C,SF,20241001,20541020,1264076,False
