"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'36291BDT1'","MBS","GNMA I MORTPASS 5% 01/34","30yr",,,,,"2398.26",,,,,,""
"2024-05-01","'3131XTMN7'","MBS","UMBS MORTPASS 4.5% 10/45","30yr",,,,,"2382.86",,,,,,""
"2024-05-01","'36296PMG3'","MBS","GNMA I 4.5% 02/39","30yr",,,,,"2380.46",,,,,,""
"2024-05-01","'31371MAB3'","MBS","UMBS MORTPASS 5% 05/25","Other",,,,,"2378.76",,,,,,""
"2024-05-01","'31416W4C3'","MBS","UMBS MORTPASS 3.5% 11/30","Other",,,,,"2374.68",,,,,,""
"2024-05-01","'36202D5B3'","MBS","GNMA II 4.5% 04/34","30yr",,,,,"2362.98",,,,,,""
"2024-05-01","'36295YTJ2'","MBS","GNMA I 4.5% 03/38","30yr",,,,,"2361.68",,,,,,""
"2024-05-01","'36176ATS8'","MBS","GNMA I MORTPASS 4% 07/41","30yr",,,,,"2358.05",,,,,,""
"2024-05-01","'36297C4Q9'","MBS","GNMA I MORTPASS 6% 02/39","30yr",,,,,"2356.53",,,,,,""
"2024-05-01","'36296CEW6'","MBS","GNMA I 5.5% 06/38","30yr",,,,,"2353.99",,,,,,""
"2024-05-01","'36241KCS5'","MBS","GNMA I MORTPASS 5% 03/35","30yr",,,,,"2351.88",,,,,,""
"2024-05-01","'31412LQE3'","MBS","UMBS MORTPASS 5.5% 07/27","Other",,,,,"2342.74",,,,,,""
"2024-05-01","'31407NP72'","MBS","UMBS MORTPASS 5% 08/35","30yr",,,,,"2338.18",,,,,,""
"2024-05-01","'36291LFV2'","MBS","GNMA I MORTPASS 5% 02/35","30yr",,,,,"2328.75",,,,,,""
"2024-05-01","'3140HMH31'","MBS","UMBS MORTPASS 3.5% 09/48","30yr",,,,,"2319.64",,,,,,""
"2024-05-01","'3132A8FN4'","MBS","UMBS MORTPASS 2.5% 07/25","Other",,,,,"2307.10",,,,,,""
"2024-05-01","'36296CBT6'","MBS","GNMA I MORTPASS 5% 05/38","30yr",,,,,"2306.28",,,,,,""
"2024-05-01","'36201HNM1'","MBS","GNMA I MORTPASS 5% 10/33","30yr",,,,,"2301.82",,,,,,""
"2024-05-01","'31371HEZ7'","MBS","UMBS MORTPASS 5.5% 01/29","30yr",,,,,"2264.69",,,,,,""
"2024-05-01","'31412QWP0'","MBS","UMBS MORTPASS 4% 12/24","15yr",,,,,"2251.01",,,,,,""
"2024-05-01","'36210YUK9'","MBS","GNMA I MORTPASS 6% 04/29","30yr",,,,,"2247.40",,,,,,""
"2024-05-01","'36297KNE7'","MBS","GNMA I MORTPASS 5% 03/39","30yr",,,,,"2243.33",,,,,,""
"2024-05-01","'3131XANL1'","MBS","UMBS MORTPASS 3% 06/24","Other",,,,,"2222.72",,,,,,""
"2024-05-01","'31371MBN6'","MBS","UMBS MORTPASS 5.5% 05/25","Other",,,,,"2211.74",,,,,,""
"2024-05-01","'3131WMU53'","MBS","UMBS MORTPASS 5.5% 04/39","30yr",,,,,"2210.63",,,,,,""
"2024-05-01","'31371LXW4'","MBS","UMBS MORTPASS 5.5% 11/24","Other",,,,,"2185.95",,,,,,""
"2024-05-01","'3131YBJH2'","MBS","UMBS MORTPASS 4% 04/49","30yr",,,,,"2182.12",,,,,,""
