36179X5K8, MA8950M, 215384616.00, 1, GNR 2023-079
36179X5J1, MA8949M, 108333333.00, 2, GNR 2023-079
36179X5K8, MA8950M, 134615385.00, 3, GNR 2023-079
36179XX76, MA8802M, 20670718.00, 4A, GNR 2023-079
38383XSD7, GN-2023-060-AT, 20670718.00, 4B, GNR 2023-079
3622ACCU2, 786483C, 15945512.00, 5, GNR 2023-079
36179X5K8, MA8950M, 76500000.00, 6, GNR 2023-079
38383CBV1, GN-2021-182-KI, 29166666.00, 7, GNR 2023-079
38382NKR7, GN-2021-027-IG, 28164797.00, 8, GNR 2023-079
36179X5K8, MA8950M, 25000000.00, 9, GNR 2023-079
38383VQB7, GN-2023-032-AY, 98804.00, 10, GNR 2023-079
38383VTM0, GN-2023-032-YB, 8537439.00, 10, GNR 2023-079
38383VTP3, GN-2023-032-YE, 1697473.00, 10, GNR 2023-079
38383VTQ1, GN-2023-032-YG, 854133.00, 10, GNR 2023-079
38383VTN8, GN-2023-032-YQ, 253391.00, 10, GNR 2023-079
38383WTD8, GN-2023-048-CY, 2470202.00, 10, GNR 2023-079
38383WWW2, GN-2023-048-YD, 1727651.00, 10, GNR 2023-079
38383WWV4, GN-2023-048-YE, 4060854.00, 10, GNR 2023-079
38383WWU6, GN-2023-048-YG, 2136569.00, 10, GNR 2023-079
38383WWT9, GN-2023-048-YH, 369956.00, 10, GNR 2023-079
38383WWS1, GN-2023-048-YJ, 4756227.00, 10, GNR 2023-079
38383WWR3, GN-2023-048-YK, 1218020.00, 10, GNR 2023-079
38383XPJ7, GN-2023-060-AY, 784170.00, 10, GNR 2023-079
38383XSM7, GN-2023-060-YB, 306292.00, 10, GNR 2023-079
38383XSN5, GN-2023-060-YC, 600487.00, 10, GNR 2023-079
38383XSQ8, GN-2023-060-YE, 321527.00, 10, GNR 2023-079
3618A7GQ6, CQ4707C, 40328.00, T, GNR 2023-079
3618AXKB7, CS4790C, 1211573.00, 1A, GNR 2023-080
3618B9EG5, CT3735C, 1467593.00, 1A, GNR 2023-080
3618BFCD0, CT9068C, 6802363.00, 1A, GNR 2023-080
3618BFDF4, CT9102C, 2400861.00, 1A, GNR 2023-080
3618BMBM6, CU3644C, 1475703.00, 1A, GNR 2023-080
3618BEVK6, CT8718C, 18480389.00, 1B, GNR 2023-080
3618BFX39, CT9698C, 1544855.00, 1B, GNR 2023-080
38380HZG0, GN-2017-160-AI, 24708975.00, 2, GNR 2023-080
38381RDT3, GN-2019-022-IA, 81804594.00, 2, GNR 2023-080
38382QXF2, GN-2021-089-AI, 8542873.00, 2, GNR 2023-080
3618AXUW0, CS5097C, 1288052.00, 3, GNR 2023-080
3618B9GG3, CT3799C, 529990.00, 3, GNR 2023-080
3618BCK63, CT6617C, 250309.00, 3, GNR 2023-080
3618BE4M2, CT8928C, 1074225.00, 3, GNR 2023-080
3618BFDG2, CT9103C, 5486429.00, 3, GNR 2023-080
3618BHDM5, CU0108C, 4355138.00, 3, GNR 2023-080
3618BLT56, CU3272C, 1709597.00, 3, GNR 2023-080
3618BMEL5, CU3739C, 1034000.00, 3, GNR 2023-080
3618BMHH1, CU3832C, 1026272.00, 3, GNR 2023-080
3618BN4Q3, CU5331C, 1629203.00, 3, GNR 2023-080
3618BTR36, CU9506C, 4893441.00, 3, GNR 2023-080
3618BTU65, CU9605C, 17812934.00, 3, GNR 2023-080
3618BWXC2, CV1575C, 1578024.00, 3, GNR 2023-080
3618F4ML2, CV7563C, 1385400.00, 3, GNR 2023-080
3618BMHG3, CU3831C, 206383.00, 4, GNR 2023-080
3618F4MH1, CV7560C, 8681856.00, 4, GNR 2023-080
3618F4MJ7, CV7561C, 1947500.00, 4, GNR 2023-080
3618A2WH9, CQ0648C, 1563038.00, 5, GNR 2023-080
3618ALAN8, CR5413C, 2392507.00, 5, GNR 2023-080
3618ALDH8, CR5504C, 1473906.00, 5, GNR 2023-080
3618AS4Z3, CS0840C, 1000568.00, 5, GNR 2023-080
3618AYCZ1, CS5488C, 1016756.00, 5, GNR 2023-080
3618AYUA6, CS5977C, 1954867.00, 5, GNR 2023-080
3618B24B2, CS8918C, 1019478.00, 5, GNR 2023-080
3618B52K7, CT0778C, 1078648.00, 5, GNR 2023-080
3618B9ES9, CT3745C, 1018099.00, 5, GNR 2023-080
3618BB4M8, CT6228C, 1263150.00, 5, GNR 2023-080
3618BB4P1, CT6230C, 1777138.00, 5, GNR 2023-080
3618BB5D7, CT6244C, 1841014.00, 5, GNR 2023-080
3618BB5E5, CT6245C, 1048881.00, 5, GNR 2023-080
3618BB5H8, CT6248C, 1646660.00, 5, GNR 2023-080
3618BCNM5, CT6696C, 1041933.00, 5, GNR 2023-080
3618BDDY8, CT7319C, 5484651.00, 5, GNR 2023-080
3618BDFV2, CT7380C, 1775180.00, 5, GNR 2023-080
3618BDGU3, CT7411C, 1385148.00, 5, GNR 2023-080
3618BDGV1, CT7412C, 10400457.00, 5, GNR 2023-080
3618BDGX7, CT7414C, 10473221.00, 5, GNR 2023-080
3618BDGY5, CT7415C, 13542495.00, 5, GNR 2023-080
3618BD6X8, CT8086C, 1276721.00, 5, GNR 2023-080
3618BE4G5, CT8923C, 1001005.00, 5, GNR 2023-080
3618BFYT1, CT9722C, 1043612.00, 5, GNR 2023-080
3618BFYV6, CT9724C, 2402294.00, 5, GNR 2023-080
3618BHR99, CU0512C, 1091338.00, 5, GNR 2023-080
3618BLAZ0, CU2724C, 1353744.00, 5, GNR 2023-080
3618BLSG3, CU3219C, 1076034.00, 5, GNR 2023-080
3618BL4N4, CU3529C, 475180.00, 5, GNR 2023-080
3618BL4U8, CU3535C, 1797036.00, 5, GNR 2023-080
3618BL4Y0, CU3539C, 2918011.00, 5, GNR 2023-080
3618BMRM9, CU4092C, 2060163.00, 5, GNR 2023-080
3618BMVX0, CU4230C, 1132297.00, 5, GNR 2023-080
3618BM4Z5, CU4440C, 1462282.00, 5, GNR 2023-080
3618BNJN4, CU4769C, 1948133.00, 5, GNR 2023-080
3618BNQW6, CU4969C, 1501897.00, 5, GNR 2023-080
3618BNQ89, CU4979C, 6354211.00, 5, GNR 2023-080
3618BN6C2, CU5367C, 1546170.00, 5, GNR 2023-080
3618BQWA0, CU6941C, 1049574.00, 5, GNR 2023-080
3618BSFB3, CU8262C, 1058082.00, 5, GNR 2023-080
3618BSFF4, CU8266C, 2141048.00, 5, GNR 2023-080
3618BS4B5, CU8918C, 1221251.00, 5, GNR 2023-080
3618AJJV6, CR3876C, 693247.00, 6, GNR 2023-080
3618AQRF6, CR9486C, 3677627.00, 6, GNR 2023-080
36179XS49, MA8639M, 3098334.00, 6, GNR 2023-080
36179XVH6, MA8716M, 1296701.00, 6, GNR 2023-080
36179XXT8, MA8790M, 2907710.00, 6, GNR 2023-080
36179XZ90, MA8868M, 1380145.00, 6, GNR 2023-080
36179X4W3, MA8937M, 3822283.00, 6, GNR 2023-080
3617FWUG4, CP6883C, 242616.00, 7, GNR 2023-080
3617FXEJ4, CP7337C, 576081.00, 7, GNR 2023-080
3618A0CB8, CP9066C, 234157.00, 7, GNR 2023-080
3618A2PJ3, CQ0425C, 1440326.00, 7, GNR 2023-080
3618A4R65, CQ2309C, 166969.00, 7, GNR 2023-080
3618A6HE4, CQ3829C, 195888.00, 7, GNR 2023-080
3618A9HJ7, CQ6533C, 3445346.00, 7, GNR 2023-080
3618A9HW8, CQ6545C, 12157094.00, 7, GNR 2023-080
3618A9NJ0, CQ6693C, 238448.00, 7, GNR 2023-080
3618ABHF0, CQ8330C, 1635951.00, 7, GNR 2023-080
3618ADDC7, CQ9999C, 337535.00, 7, GNR 2023-080
3618AFA68, CR0929C, 1660575.00, 7, GNR 2023-080
3618AFJP7, CR1170C, 1285644.00, 7, GNR 2023-080
3618AFN56, CR1312C, 457133.00, 7, GNR 2023-080
3618AFUS8, CR1493C, 540114.00, 7, GNR 2023-080
3618AFWG2, CR1547C, 90073.00, 7, GNR 2023-080
3618AHK22, CR3013C, 838421.00, 7, GNR 2023-080
3618AHV61, CR3337C, 162315.00, 7, GNR 2023-080
3618AHYU5, CR3423C, 351138.00, 7, GNR 2023-080
3618AJW25, CR4265C, 882215.00, 7, GNR 2023-080
3618AJXC2, CR4275C, 312395.00, 7, GNR 2023-080
3618AKE71, CR4658C, 262581.00, 7, GNR 2023-080
3618AKG53, CR4720C, 270443.00, 7, GNR 2023-080
3618AKJP6, CR4770C, 1008291.00, 7, GNR 2023-080
3618AKK25, CR4813C, 135338.00, 7, GNR 2023-080
3618AKLB4, CR4822C, 189992.00, 7, GNR 2023-080
3618AKU57, CR5104C, 874965.00, 7, GNR 2023-080
3618APC64, CR8193C, 146734.00, 7, GNR 2023-080
3618APF95, CR8292C, 203993.00, 7, GNR 2023-080
3618AP5U9, CR8959C, 3028735.00, 7, GNR 2023-080
3618ASVC4, CS0611C, 81652.00, 7, GNR 2023-080
3618AUAK4, CS1810C, 1551128.00, 7, GNR 2023-080
3618AXTQ5, CS5059C, 180144.00, 7, GNR 2023-080
3618AX2N1, CS5281C, 931942.00, 7, GNR 2023-080
3618AX6T4, CS5382C, 253272.00, 7, GNR 2023-080
3618AYBC3, CS5435C, 368130.00, 7, GNR 2023-080
3618AYBY5, CS5455C, 557460.00, 7, GNR 2023-080
3618AYMP2, CS5766C, 295700.00, 7, GNR 2023-080
3618B0ZJ5, CS7045C, 322937.00, 7, GNR 2023-080
3618B3K22, CS9313C, 172706.00, 7, GNR 2023-080
3618B95V2, CT4460C, 993077.00, 7, GNR 2023-080
3618BB6E4, CT6269C, 814430.00, 7, GNR 2023-080
3618BCXA0, CT6973C, 1771073.00, 7, GNR 2023-080
3618BCXK8, CT6982C, 2748884.00, 7, GNR 2023-080
3618BEVJ9, CT8717C, 145106.00, 7, GNR 2023-080
3618BMRQ0, CU4095C, 412393.00, 7, GNR 2023-080
3618BNJR5, CU4772C, 90254.00, 7, GNR 2023-080
3617XSBT6, CJ9050C, 20087981.00, 8, GNR 2023-080
3617FLWV3, CO8760C, 1023682.00, 8, GNR 2023-080
3617FMB93, CO9064C, 747185.00, 8, GNR 2023-080
3617FU2Y0, CP5291C, 1336148.00, 8, GNR 2023-080
3618ACQ50, CQ9476C, 1237234.00, 8, GNR 2023-080
3618AECK8, CR0074C, 3038034.00, 8, GNR 2023-080
3618AGST7, CR2330C, 1045511.00, 8, GNR 2023-080
3618ANVZ4, CR7832C, 2814378.00, 8, GNR 2023-080
