"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-06-05","'3140XMNV4'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"61146943477.28",,,,,,"Y"
"2024-06-05","'3140XMNU6'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"54591338479.04",,,,,,"Y"
"2024-06-05","'3140XMU61'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"52174197708.93",,,,,,"Y"
"2024-06-05","'3140XMNR3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"46521915320.28",,,,,,"Y"
"2024-06-05","'3140XNJJ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"41166114602.18",,,,,,"Y"
"2024-06-05","'3140XMU87'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"38938181491.37",,,,,,"Y"
"2024-06-05","'3140XMNY8'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"33841830668.43",,,,,,"Y"
"2024-06-05","'3140XMNW2'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"33040427593.64",,,,,,"Y"
"2024-06-05","'3132E0JR4'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"32632728546.91",,,,,,"Y"
"2024-06-05","'3140XMNZ5'","MBS","UMBS MORTPASS 2.5% 04/52","30yr",,,,,"30718319287.30",,,,,,"Y"
"2024-06-05","'3132DSET5'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"30082546710.89",,,,,,"Y"
"2024-06-05","'3132DSYZ9'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"29899407825.20",,,,,,"Y"
"2024-06-05","'3140XNRY2'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29778409613.37",,,,,,"Y"
"2024-06-05","'3132E0JS2'","MBS","UMBS MORTPASS 2.5% 05/52","30yr",,,,,"28767055191.45",,,,,,"Y"
"2024-06-05","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"27472327173.60",,,,,,""
"2024-06-05","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"25656155038.59",,,,,,""
"2024-06-05","'3132DSMM1'","MBS","UMBS MORTPASS 2.5% 01/51","30yr",,,,,"25081221333.98",,,,,,"Y"
"2024-06-05","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"23583090111.91",,,,,,""
"2024-06-05","'3132DWCH4'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"23433846849.51",,,,,,""
"2024-06-05","'3132DSTM4'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"22838405285.86",,,,,,"Y"
"2024-06-05","'3140XM6T8'","MBS","UMBS MORTPASS 3.5% 10/45","30yr",,,,,"22794642717.76",,,,,,"Y"
"2024-06-05","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"22531006289.11",,,,,,""
"2024-06-05","'3132DSES7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"22450709720.00",,,,,,"Y"
"2024-06-05","'3140XMNS1'","MBS","UMBS MORTPASS 2.5% 11/51","30yr",,,,,"22167888140.38",,,,,,"Y"
"2024-06-05","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"20298578791.45",,,,,,""
