3618BNLH4, CU4828C, 490191.00, 2, GNR 2023-111
3618BNLJ0, CU4829C, 554178.00, 2, GNR 2023-111
3618BNLK7, CU4830C, 697632.00, 2, GNR 2023-111
3618BNLL5, CU4831C, 466109.00, 2, GNR 2023-111
3618BNMC4, CU4855C, 260233.00, 2, GNR 2023-111
3618BNMZ3, CU4876C, 490862.00, 2, GNR 2023-111
3618BNNA7, CU4885C, 454926.00, 2, GNR 2023-111
3618BNT52, CU5072C, 1007220.00, 2, GNR 2023-111
3618BPSF6, CU5918C, 304726.00, 2, GNR 2023-111
3618BQE93, CU6460C, 762880.00, 2, GNR 2023-111
3618BQF76, CU6490C, 1731742.00, 2, GNR 2023-111
3618BQFA9, CU6461C, 744550.00, 2, GNR 2023-111
3618BQFN1, CU6473C, 734845.00, 2, GNR 2023-111
3618BQFP6, CU6474C, 1471003.00, 2, GNR 2023-111
3618BQGK6, CU6502C, 1072511.00, 2, GNR 2023-111
3618BQH82, CU6555C, 1031251.00, 2, GNR 2023-111
3618BQHP4, CU6538C, 1043838.00, 2, GNR 2023-111
3618BQVK9, CU6918C, 270353.00, 2, GNR 2023-111
3618BSDT6, CU8214C, 363571.00, 2, GNR 2023-111
3618BSF72, CU8290C, 853765.00, 2, GNR 2023-111
3618BSF98, CU8292C, 1418463.00, 2, GNR 2023-111
3618BSGB2, CU8294C, 1233592.00, 2, GNR 2023-111
3618BSGD8, CU8296C, 729530.00, 2, GNR 2023-111
3618BSGE6, CU8297C, 407235.00, 2, GNR 2023-111
3618BT4P2, CU9830C, 418158.00, 2, GNR 2023-111
3618BTEK2, CU9138C, 429296.00, 2, GNR 2023-111
3618BTKS8, CU9305C, 548463.00, 2, GNR 2023-111
3618BTLA6, CU9321C, 656642.00, 2, GNR 2023-111
3618BTLC2, CU9323C, 477316.00, 2, GNR 2023-111
3618BWF40, CV1087C, 473249.00, 2, GNR 2023-111
3618BWF57, CV1088C, 453242.00, 2, GNR 2023-111
3618BWF65, CV1089C, 648853.00, 2, GNR 2023-111
3618BWH22, CV1149C, 579259.00, 2, GNR 2023-111
3618BWHZ9, CV1148C, 560581.00, 2, GNR 2023-111
3618BWJM6, CV1168C, 559735.00, 2, GNR 2023-111
3618BWJP9, CV1170C, 411420.00, 2, GNR 2023-111
3618BWQS5, CV1365C, 571464.00, 2, GNR 2023-111
3618BWUL5, CV1487C, 1210063.00, 2, GNR 2023-111
3618BWUM3, CV1488C, 2058933.00, 2, GNR 2023-111
3618BXBM2, CV1844C, 382070.00, 2, GNR 2023-111
3618BXBS9, CV1849C, 503525.00, 2, GNR 2023-111
3618BXHR5, CV2040C, 368354.00, 2, GNR 2023-111
3618BXHS3, CV2041C, 687319.00, 2, GNR 2023-111
3618BXHT1, CV2042C, 1310540.00, 2, GNR 2023-111
3618BXHU8, CV2043C, 1255374.00, 2, GNR 2023-111
3618BXJA0, CV2057C, 469115.00, 2, GNR 2023-111
3618BXKJ9, CV2097C, 658238.00, 2, GNR 2023-111
3618BXKK6, CV2098C, 1463140.00, 2, GNR 2023-111
3618BXKL4, CV2099C, 853532.00, 2, GNR 2023-111
3618BXKM2, CV2100C, 957910.00, 2, GNR 2023-111
3618BXPC9, CV2219C, 1066750.00, 2, GNR 2023-111
3618BYM48, CV3079C, 440445.00, 2, GNR 2023-111
3618BYM55, CV3080C, 405788.00, 2, GNR 2023-111
3618BYM97, CV3084C, 500533.00, 2, GNR 2023-111
3618BYNB1, CV3086C, 718870.00, 2, GNR 2023-111
3618BYQ85, CV3179C, 268884.00, 2, GNR 2023-111
3618BYRV3, CV3200C, 919810.00, 2, GNR 2023-111
3618BYRW1, CV3201C, 498584.00, 2, GNR 2023-111
3618F0G60, CV3821C, 357833.00, 2, GNR 2023-111
3618F0G78, CV3822C, 369420.00, 2, GNR 2023-111
3618F0HG7, CV3831C, 356768.00, 2, GNR 2023-111
3618F0HL6, CV3835C, 398056.00, 2, GNR 2023-111
3618F1A23, CV4525C, 1770277.00, 2, GNR 2023-111
3618F1A31, CV4526C, 2369444.00, 2, GNR 2023-111
3618F1KP1, CV4802C, 2560100.00, 2, GNR 2023-111
3618F2QG3, CV5855C, 454809.00, 2, GNR 2023-111
3618F36L2, CV7175C, 578881.00, 2, GNR 2023-111
3618F36M0, CV7176C, 1603341.00, 2, GNR 2023-111
3618F36N8, CV7177C, 2249664.00, 2, GNR 2023-111
