3618B0X81, CS7003C, 1822637.00, 2, GNR 2023-063
3618AWHD9, CS3828C, 1113047.00, 2, GNR 2023-063
3617FYKD8, CP8392C, 3178232.00, 2, GNR 2023-063
3618AYX39, CS6098C, 1081130.00, 2, GNR 2023-063
3618ATB83, CS0963C, 2893014.00, 2, GNR 2023-063
3618B1AS0, CS7217C, 4209749.00, 2, GNR 2023-063
3618BFVF4, CT9614C, 3479057.00, 2, GNR 2023-063
3618B0YY3, CS7027C, 2496527.00, 2, GNR 2023-063
3618ALUH9, CR5984C, 1000967.00, 2, GNR 2023-063
3618B0BC6, CS6335C, 2743867.00, 2, GNR 2023-063
3618B3LB1, CS9322C, 1575785.00, 2, GNR 2023-063
3618B0AH6, CS6308C, 2260188.00, 2, GNR 2023-063
3618B07A5, CS7189C, 1086522.00, 2, GNR 2023-063
3618B1U74, CS7806C, 5000000.00, 2, GNR 2023-063
3617FYGM3, CP8304C, 2017892.00, 2, GNR 2023-063
3618B6KG4, CT1195C, 7032868.00, 2, GNR 2023-063
3618ASGV9, CS0212C, 4787972.00, 2, GNR 2023-063
3618AWHX5, CS3846C, 1136146.00, 2, GNR 2023-063
3618BAKH3, CT4796C, 2032755.00, 2, GNR 2023-063
3618B3QJ9, CS9457C, 988277.00, 2, GNR 2023-063
3617FYGY7, CP8315C, 2768291.00, 2, GNR 2023-063
3618AYXF2, CS6078C, 1255191.00, 2, GNR 2023-063
3618B9S21, CT4137C, 1999751.00, 2, GNR 2023-063
3618B06T5, CS7182C, 1495108.00, 2, GNR 2023-063
3618B1F71, CS7390C, 1028252.00, 2, GNR 2023-063
3618AWAB0, CS3602C, 5240621.00, 2, GNR 2023-063
3618BALG4, CT4827C, 1784821.00, 2, GNR 2023-063
36179XX76, MA8802M, 96852339.00, 3, GNR 2023-063
36179X2M7, MA8880M, 403344998.00, 3, GNR 2023-063
36179X2M7, MA8880M, 60000000.00, 4, GNR 2023-063
3617X8ZJ6, CI4345C, 794873.00, 5, GNR 2023-063
3617XPJK3, CJ6566C, 56008.00, 5, GNR 2023-063
3617Y03K4, CK5302C, 82786.00, 5, GNR 2023-063
3617Y3B52, CK7260C, 154339.00, 5, GNR 2023-063
3617YAZA9, CL3437C, 428262.00, 5, GNR 2023-063
3617YBAV8, CL3620C, 109327.00, 5, GNR 2023-063
3617YNKH2, CM2996C, 82006.00, 5, GNR 2023-063
3617YNKS8, CM3005C, 32712.00, 5, GNR 2023-063
3617F2ED5, CN2832C, 116076.00, 5, GNR 2023-063
3617F4VT7, CN5126C, 28844.00, 5, GNR 2023-063
3617F46M0, CN5376C, 1200749.00, 5, GNR 2023-063
3617F5JR2, CN5672C, 142504.00, 5, GNR 2023-063
3617F5QT0, CN5866C, 57797.00, 5, GNR 2023-063
3617F6JK5, CN6566C, 63722.00, 5, GNR 2023-063
3617F9CN0, CN9077C, 105214.00, 5, GNR 2023-063
3617FCZA6, CO1637C, 44600.00, 5, GNR 2023-063
3617FDD34, CO1922C, 92404.00, 5, GNR 2023-063
3617FF2A5, CO4369C, 107412.00, 5, GNR 2023-063
3617FHGZ1, CO5616C, 64476.00, 5, GNR 2023-063
3617FH3K8, CO6202C, 59818.00, 5, GNR 2023-063
3617FJMS6, CO6669C, 64959.00, 5, GNR 2023-063
3617FJXE5, CO6977C, 145594.00, 5, GNR 2023-063
3617FKK89, CO7519C, 297720.00, 5, GNR 2023-063
3617FPN69, CP0413C, 70789.00, 5, GNR 2023-063
3617FQV50, CP1536C, 131756.00, 5, GNR 2023-063
3617FQZS6, CP1653C, 55109.00, 5, GNR 2023-063
3617FRUQ3, CP2391C, 76867.00, 5, GNR 2023-063
3617FRXG2, CP2479C, 51849.00, 5, GNR 2023-063
3617FSNZ9, CP3108C, 153345.00, 5, GNR 2023-063
3617FTMA3, CP3953C, 985446.00, 5, GNR 2023-063
3617FTW53, CP4268C, 232345.00, 5, GNR 2023-063
3617FTZB7, CP4338C, 77332.00, 5, GNR 2023-063
3617FUJS5, CP4773C, 721614.00, 5, GNR 2023-063
3617FUNZ4, CP4908C, 90144.00, 5, GNR 2023-063
3617FVTR4, CP5960C, 57733.00, 5, GNR 2023-063
3617FV2Q5, CP6183C, 670701.00, 5, GNR 2023-063
3617FWBL4, CP6343C, 4395343.00, 5, GNR 2023-063
3617FWDQ1, CP6411C, 82708.00, 5, GNR 2023-063
3617FWHS3, CP6541C, 5111534.00, 5, GNR 2023-063
3617FWHT1, CP6542C, 5448664.00, 5, GNR 2023-063
3617FWU25, CP6901C, 352293.00, 5, GNR 2023-063
3617FWU66, CP6905C, 461527.00, 5, GNR 2023-063
3617FWWQ0, CP6955C, 53796.00, 5, GNR 2023-063
3617FW5X5, CP7162C, 180460.00, 5, GNR 2023-063
3617FYW45, CP8767C, 42210.00, 5, GNR 2023-063
3618A0MM3, CP9364C, 243244.00, 5, GNR 2023-063
3618A1BY7, CP9955C, 39412.00, 5, GNR 2023-063
3618A1B84, CP9963C, 253051.00, 5, GNR 2023-063
3618A1CM2, CP9976C, 60918.00, 5, GNR 2023-063
3618A2S50, CQ0540C, 75262.00, 5, GNR 2023-063
3618A3J41, CQ1183C, 29531.00, 5, GNR 2023-063
3618A4DR4, CQ1912C, 67413.00, 5, GNR 2023-063
3618A4DY9, CQ1919C, 326157.00, 5, GNR 2023-063
3618A4D45, CQ1923C, 642403.00, 5, GNR 2023-063
3618A4EH5, CQ1936C, 501677.00, 5, GNR 2023-063
3618A4EQ5, CQ1943C, 36127.00, 5, GNR 2023-063
