"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-08-07","'3140XMNV4'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"60422990673.17",,,,,,"Y"
"2024-08-07","'3140XMNU6'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"53954013377.85",,,,,,"Y"
"2024-08-07","'3140XMU61'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"51536805802.80",,,,,,"Y"
"2024-08-07","'3140XMNR3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"45871634347.54",,,,,,"Y"
"2024-08-07","'3140XNJJ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"40685660414.53",,,,,,"Y"
"2024-08-07","'3140XMU87'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"38473796876.42",,,,,,"Y"
"2024-08-07","'3140XMNY8'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"33351047423.57",,,,,,"Y"
"2024-08-07","'3140XMNW2'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"32593101761.04",,,,,,"Y"
"2024-08-07","'3132E0JR4'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"32165950564.78",,,,,,"Y"
"2024-08-07","'3132DTNJ5'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"30550188775.79",,,,,,"Y"
"2024-08-07","'3140XMNZ5'","MBS","UMBS MORTPASS 2.5% 04/52","30yr",,,,,"30309120691.64",,,,,,"Y"
"2024-08-07","'3132DSET5'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"29672228683.85",,,,,,"Y"
"2024-08-07","'3132DSYZ9'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"29496466507.10",,,,,,"Y"
"2024-08-07","'3140XNRY2'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29419905982.54",,,,,,"Y"
"2024-08-07","'3132E0JS2'","MBS","UMBS MORTPASS 2.5% 05/52","30yr",,,,,"28385893673.84",,,,,,"Y"
"2024-08-07","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"27134300994.68",,,,,,""
"2024-08-07","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"25345311564.76",,,,,,""
"2024-08-07","'3132DSMM1'","MBS","UMBS MORTPASS 2.5% 01/51","30yr",,,,,"24721531485.10",,,,,,"Y"
"2024-08-07","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"23299288498.80",,,,,,""
