3618J7W71, DE2470C, 12718571.00, 5, GNR 2024-142
3618J8YP7, DE3418C, 606143.00, 5, GNR 2024-142
3618J8YQ5, DE3419C, 2269966.00, 5, GNR 2024-142
3618J92C9, DE4371C, 1862068.00, 5, GNR 2024-142
3618J92F2, DE4374C, 4074449.00, 5, GNR 2024-142
3618J92J4, DE4377C, 1828830.00, 5, GNR 2024-142
3618J92M7, DE4380C, 11781786.00, 5, GNR 2024-142
3618J9XM3, DE4284C, 8633043.00, 5, GNR 2024-142
3618J9YR1, DE4320C, 4315800.00, 5, GNR 2024-142
3618JAB93, DE4564C, 1255864.00, 5, GNR 2024-142
3618JACD3, DE4568C, 1440675.00, 5, GNR 2024-142
3618JACG6, DE4571C, 1681970.00, 5, GNR 2024-142
3618JACK7, DE4574C, 1241572.00, 5, GNR 2024-142
3618JB3J8, DE6201C, 1984235.00, 5, GNR 2024-142
3618JBZQ7, DE6151C, 4044509.00, 5, GNR 2024-142
3618JBZR5, DE6152C, 2883320.00, 5, GNR 2024-142
3618JBZS3, DE6153C, 1540030.00, 5, GNR 2024-142
3618JBZT1, DE6154C, 3046643.00, 5, GNR 2024-142
3618JC5N5, DE7153C, 10076772.00, 5, GNR 2024-142
3618JCBC2, DE6335C, 24929179.00, 5, GNR 2024-142
3618JEL45, DE8447C, 1629677.00, 5, GNR 2024-142
3618JEL52, DE8448C, 3893878.00, 5, GNR 2024-142
3618JFL67, DE9349C, 15015210.00, 5, GNR 2024-142
3618JJV43, DF1535C, 1110174.00, 5, GNR 2024-142
3618JJV50, DF1536C, 1265778.00, 5, GNR 2024-142
3618HN6H5, DC8072C, 1376783.00, 6A, GNR 2024-142
3618HPWM0, DC8752C, 1163578.00, 6A, GNR 2024-142
3618HPZD7, DC8840C, 1020709.00, 6A, GNR 2024-142
3618HSUA2, DD0577C, 4307958.00, 6A, GNR 2024-142
3618J2DB4, DD8198C, 1050773.00, 6A, GNR 2024-142
3618H72W1, DB5289C, 1457514.00, 6B, GNR 2024-142
3618HSSU1, DD0531C, 1511568.00, 6B, GNR 2024-142
3618J03A1, DD7093C, 1032587.00, 6B, GNR 2024-142
3618J1WB5, DD7842C, 1708347.00, 6B, GNR 2024-142
3618J6CP5, DE0978C, 1497141.00, 6B, GNR 2024-142
3618J9ZM1, DE4348C, 2684788.00, 6B, GNR 2024-142
3618JACW1, DE4585C, 1485705.00, 6B, GNR 2024-142
3618JACX9, DE4586C, 1646333.00, 6B, GNR 2024-142
3618JBZF1, DE6142C, 1232583.00, 6B, GNR 2024-142
3618JBZG9, DE6143C, 1374011.00, 6B, GNR 2024-142
3618H72Y7, DB5291C, 3579808.00, 6C, GNR 2024-142
3618HS7B6, DD0890C, 1086695.00, 6C, GNR 2024-142
3618HSQZ2, DD0472C, 1041815.00, 6C, GNR 2024-142
3618J0GD1, DD6496C, 1314556.00, 6C, GNR 2024-142
3618J1ZV8, DD7956C, 1198498.00, 6C, GNR 2024-142
3618J3QT9, DD9466C, 1051364.00, 6C, GNR 2024-142
3618J7CX6, DE1886C, 1507275.00, 6C, GNR 2024-142
3618J86F0, DE3570C, 1140879.00, 6C, GNR 2024-142
3618J8VV7, DE3328C, 6063984.00, 6C, GNR 2024-142
3618J9ZQ2, DE4351C, 2781778.00, 6C, GNR 2024-142
3618JACU5, DE4583C, 1749675.00, 6C, GNR 2024-142
3618JBZH7, DE6144C, 1459875.00, 6C, GNR 2024-142
3618JEZU2, DE8855C, 1399687.00, 6C, GNR 2024-142
3618H72Z4, DB5292C, 3887934.00, 6D, GNR 2024-142
3618HLPP0, DC5830C, 2172133.00, 6D, GNR 2024-142
3618HSBQ8, DD0047C, 2269149.00, 6D, GNR 2024-142
3618HSSW7, DD0533C, 1693577.00, 6D, GNR 2024-142
3618HUXQ9, DD2487C, 1675123.00, 6D, GNR 2024-142
3618HYVG5, DD6015C, 5728633.00, 6D, GNR 2024-142
3618J1RF2, DD7686C, 1017495.00, 6D, GNR 2024-142
3618J6RA2, DE1381C, 1052771.00, 6D, GNR 2024-142
3618J9ZT6, DE4354C, 1488040.00, 6D, GNR 2024-142
3618JACS0, DE4581C, 2067237.00, 6D, GNR 2024-142
3618JFP55, DE9444C, 1078171.00, 6D, GNR 2024-142
3618JHHS0, DF0241C, 3015750.00, 6D, GNR 2024-142
3618H52U9, DB3487C, 1258414.00, 6E, GNR 2024-142
3618HGER9, DC1944C, 1755850.00, 6E, GNR 2024-142
3618HSSX5, DD0534C, 1671251.00, 6E, GNR 2024-142
3618HTGT5, DD1110C, 1171814.00, 6E, GNR 2024-142
3618HVSH3, DD3220C, 2825852.00, 6E, GNR 2024-142
3618HY7M9, DD6300C, 1910916.00, 6E, GNR 2024-142
3618J2VL2, DD8719C, 2996999.00, 6E, GNR 2024-142
3618J4BX4, DD9954C, 3194905.00, 6E, GNR 2024-142
3618J6HF2, DE1130C, 1012650.00, 6E, GNR 2024-142
3618J7CY4, DE1887C, 1045852.00, 6E, GNR 2024-142
3618J9ZX7, DE4358C, 2345847.00, 6E, GNR 2024-142
3618JACQ4, DE4579C, 1696414.00, 6E, GNR 2024-142
3618JFP48, DE9443C, 1260904.00, 6E, GNR 2024-142
3618HTWW0, DD1561C, 2163712.00, 6F, GNR 2024-142
3618J0AA3, DD6301C, 1935544.00, 6F, GNR 2024-142
3618J0UZ6, DD6900C, 3990045.00, 6F, GNR 2024-142
3618J3CM9, DD9076C, 1157660.00, 6F, GNR 2024-142
3618J9Z25, DE4361C, 2580934.00, 6F, GNR 2024-142
3618JBZL8, DE6147C, 4993095.00, 6F, GNR 2024-142
3618JELZ6, DE8444C, 1874295.00, 6F, GNR 2024-142
3618JJ2K9, DF1678C, 3818141.00, 6F, GNR 2024-142
3618GM4F4, CZ9822C, 1122761.00, 6G, GNR 2024-142
3618HEV20, DC0633C, 121070.00, 6G, GNR 2024-142
3618HL2M2, DC6180C, 1182811.00, 6G, GNR 2024-142
3618HNS24, DC7737C, 1354606.00, 6G, GNR 2024-142
3618HSBN5, DD0045C, 1302738.00, 6G, GNR 2024-142
3618HSSZ0, DD0536C, 3938393.00, 6G, GNR 2024-142
