3618AGUA5, CR2377C, 1777639.00, 9, GNR 2023-053
3618B3DT1, CS9114C, 2421071.00, 9, GNR 2023-053
3618B5XA5, CT0673C, 8885771.00, 9, GNR 2023-053
3618B5X49, CT0699C, 18238683.00, 9, GNR 2023-053
3618B5Y22, CT0729C, 6786842.00, 9, GNR 2023-053
3618B5Y55, CT0732C, 4760405.00, 9, GNR 2023-053
3617YV2A9, CM9769C, 1504535.00, 10, GNR 2023-053
3617FUHF5, CP4730C, 1032272.00, 10, GNR 2023-053
3617FYLA3, CP8421C, 2892340.00, 10, GNR 2023-053
3617FYL96, CP8452C, 2902871.00, 10, GNR 2023-053
3618A3DU9, CQ1015C, 1013215.00, 10, GNR 2023-053
3618A7A41, CQ4527C, 1167885.00, 10, GNR 2023-053
3618ABKG4, CQ8395C, 1916597.00, 10, GNR 2023-053
3618AJ6E8, CR4469C, 1226562.00, 10, GNR 2023-053
3618AKP38, CR4942C, 1135178.00, 10, GNR 2023-053
3618AKYR5, CR5220C, 2276687.00, 10, GNR 2023-053
3618AKYZ7, CR5228C, 2616413.00, 10, GNR 2023-053
3618AKY79, CR5234C, 2598360.00, 10, GNR 2023-053
3618AKZG8, CR5243C, 5246821.00, 10, GNR 2023-053
3618AKZH6, CR5244C, 1109353.00, 10, GNR 2023-053
3618AKZJ2, CR5245C, 3086682.00, 10, GNR 2023-053
3618ALHE1, CR5629C, 1369493.00, 10, GNR 2023-053
3618ALHF8, CR5630C, 1417445.00, 10, GNR 2023-053
3618ALHG6, CR5631C, 1082663.00, 10, GNR 2023-053
3618APJU4, CR8375C, 1095071.00, 10, GNR 2023-053
3618APJV2, CR8376C, 1152043.00, 10, GNR 2023-053
3618APJW0, CR8377C, 1075301.00, 10, GNR 2023-053
3618AWAF1, CS3606C, 3960249.00, 10, GNR 2023-053
3618AWAG9, CS3607C, 2301480.00, 10, GNR 2023-053
3618AWAH7, CS3608C, 3671581.00, 10, GNR 2023-053
3618AXA51, CS4528C, 1493663.00, 10, GNR 2023-053
3618AXZL9, CS5247C, 1010203.00, 10, GNR 2023-053
3618AYPV6, CS5836C, 1052330.00, 10, GNR 2023-053
3618AYPY0, CS5839C, 1705692.00, 10, GNR 2023-053
3618AYW30, CS6066C, 1151754.00, 10, GNR 2023-053
3618AYW48, CS6067C, 1440277.00, 10, GNR 2023-053
3618B1AN1, CS7213C, 1204968.00, 10, GNR 2023-053
3618B1AV3, CS7220C, 1796206.00, 10, GNR 2023-053
3618B1NG2, CS7591C, 5122706.00, 10, GNR 2023-053
3618B1NH0, CS7592C, 5121849.00, 10, GNR 2023-053
3618B1R78, CS7710C, 8060128.00, 10, GNR 2023-053
3618B2QN2, CS8561C, 1005524.00, 10, GNR 2023-053
3618B2QV4, CS8568C, 1169295.00, 10, GNR 2023-053
3618B2Y45, CS8831C, 1121250.00, 10, GNR 2023-053
3618B3RS8, CS9497C, 1127481.00, 10, GNR 2023-053
3618B3WM5, CS9652C, 1002857.00, 10, GNR 2023-053
3618B3ZG5, CS9743C, 1334826.00, 10, GNR 2023-053
3618B32C0, CS9771C, 1000477.00, 10, GNR 2023-053
3618B34R5, CS9832C, 1327059.00, 10, GNR 2023-053
3618B35Q6, CS9855C, 1649308.00, 10, GNR 2023-053
3618B35R4, CS9856C, 4657245.00, 10, GNR 2023-053
3618B35S2, CS9857C, 1735517.00, 10, GNR 2023-053
3618B35T0, CS9858C, 5483577.00, 10, GNR 2023-053
3618B36H5, CS9872C, 1269460.00, 10, GNR 2023-053
3618B36J1, CS9873C, 1322487.00, 10, GNR 2023-053
3618B36K8, CS9874C, 3807838.00, 10, GNR 2023-053
3618B36L6, CS9875C, 1888910.00, 10, GNR 2023-053
3618B36M4, CS9876C, 4043307.00, 10, GNR 2023-053
3618B6WJ5, CT1549C, 1188144.00, 10, GNR 2023-053
3618B8E28, CT2853C, 1035248.00, 10, GNR 2023-053
3618B9SB1, CT4114C, 6072252.00, 10, GNR 2023-053
3618B9ST2, CT4130C, 7016709.00, 10, GNR 2023-053
3618B9TM6, CT4156C, 9139227.00, 10, GNR 2023-053
3618B9XE9, CT4277C, 1299812.00, 10, GNR 2023-053
3618B9XG4, CT4279C, 2359181.00, 10, GNR 2023-053
3618B94P6, CT4430C, 1592558.00, 10, GNR 2023-053
3618BBDF3, CT5502C, 1020589.00, 10, GNR 2023-053
3618BCKM8, CT6600C, 1173679.00, 10, GNR 2023-053
3618BCKN6, CT6601C, 1032373.00, 10, GNR 2023-053
3618BCKQ9, CT6603C, 1178791.00, 10, GNR 2023-053
3618BCKT3, CT6606C, 1120207.00, 10, GNR 2023-053
3618BDCQ6, CT7279C, 2911928.00, 10, GNR 2023-053
3618BFBR0, CT9048C, 1248541.00, 10, GNR 2023-053
3618BFBS8, CT9049C, 1343476.00, 10, GNR 2023-053
36179XX84, MA8803M, 50000000.00, 11, GNR 2023-053
38379JTT8, GN-2015-016-SM, 20791921.00, 12A, GNR 2023-053
38379L2E5, GN-2015-079-SG, 18251798.00, 12A, GNR 2023-053
38379H6S9, GN-2015-014-SA, 30478045.00, 12B, GNR 2023-053
38379NR61, GN-2015-099-BS, 37971611.00, 12C, GNR 2023-053
38378MKM6, GN-2013-025-SB, 21700000.00, 13, GNR 2023-053
38379PNL7, GN-2015-072-SA, 34844356.00, 13, GNR 2023-053
38380KGM1, GN-2017-172-SA, 39531405.00, 13, GNR 2023-053
38380W4A4, GN-2018-067-PS, 16502659.00, 13, GNR 2023-053
38380XJ73, GN-2018-097-HS, 1000000.00, 13, GNR 2023-053
38380YR64, GN-2018-122-HS, 4885187.00, 13, GNR 2023-053
38380YR23, GN-2018-122-SE, 1138139.00, 13, GNR 2023-053
38378VUN3, GN-2013-099-WS, 39093728.00, 14A, GNR 2023-053
38378YU23, GN-2014-032-S, 77417190.00, 14A, GNR 2023-053
38377TX71, GN-2011-023-KS, 31098460.00, 14B, GNR 2023-053
38378CTJ6, GN-2012-006-SB, 18506842.00, 14B, GNR 2023-053
38379MV92, GN-2015-134-PZ, 2174000.00, 15, GNR 2023-053
38379QWW1, GN-2015-155-PZ, 3265000.00, 15, GNR 2023-053
38380CZS5, GN-2017-025-WZ, 3500000.00, 15, GNR 2023-053
38380KZQ1, GN-2018-022-LZ, 3200000.00, 15, GNR 2023-053
38383YXU1, GN-2022-154-AY, 5533730.00, 15, GNR 2023-053
3617UKLF5, CB0326C, 105970.00, 16, GNR 2023-053
3617XPJB3, CJ6558C, 48943.00, 16, GNR 2023-053
3617Y3CG7, CK7271C, 223857.00, 16, GNR 2023-053
3617FKTK3, CO7754C, 94730.00, 16, GNR 2023-053
3618A0A20, CP9025C, 41602.00, 16, GNR 2023-053
3618A7GX1, CQ4714C, 280399.00, 16, GNR 2023-053
3618ACNK0, CQ9394C, 19655485.00, 16, GNR 2023-053
3618ACN20, CQ9409C, 2334593.00, 16, GNR 2023-053
3618ACPK8, CQ9426C, 188776.00, 16, GNR 2023-053
3618AEA61, CR0029C, 100203.00, 16, GNR 2023-053
3618AGP29, CR2241C, 91614.00, 16, GNR 2023-053
3618AHPT8, CR3134C, 371401.00, 16, GNR 2023-053
3618AHW37, CR3366C, 113796.00, 16, GNR 2023-053
3618AKVJ6, CR5117C, 536333.00, 16, GNR 2023-053
3618AKWG1, CR5147C, 780371.00, 16, GNR 2023-053
3618APH28, CR8349C, 124474.00, 16, GNR 2023-053
3618AQJV0, CR9276C, 4268593.00, 16, GNR 2023-053
3618ASRY1, CS0503C, 199364.00, 16, GNR 2023-053
3618ASR70, CS0510C, 118617.00, 16, GNR 2023-053
3618AVZK5, CS3446C, 612927.00, 16, GNR 2023-053
3618AVZ33, CS3462C, 170873.00, 16, GNR 2023-053
3618AXA85, CS4531C, 86717.00, 16, GNR 2023-053
3618AXM66, CS4881C, 96103.00, 16, GNR 2023-053
3618AXM82, CS4883C, 56012.00, 16, GNR 2023-053
3618AXNA6, CS4885C, 85211.00, 16, GNR 2023-053
3618AXNW8, CS4905C, 482170.00, 16, GNR 2023-053
3618B1L74, CS7550C, 7285788.00, 16, GNR 2023-053
3618B5ZA3, CT0737C, 294726.00, 16, GNR 2023-053
3618B8TZ9, CT3268C, 453376.00, 16, GNR 2023-053
3618B9RN6, CT4093C, 448223.00, 16, GNR 2023-053
3618B9T79, CT4174C, 480686.00, 16, GNR 2023-053
3618BAGJ4, CT4701C, 169656.00, 16, GNR 2023-053
3618BAL74, CT4850C, 183777.00, 16, GNR 2023-053
