"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-10-02","'3132DUAA5'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"66996479626.58",,,,,,"Y"
"2024-10-02","'3140XMNV4'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"59699502113.59",,,,,,"Y"
"2024-10-02","'3140XMNU6'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"53319395916.44",,,,,,"Y"
"2024-10-02","'3140XMU61'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"50921690451.83",,,,,,"Y"
"2024-10-02","'3132DTVG2'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"49344959521.49",,,,,,"Y"
"2024-10-02","'3140XMNR3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"45244694895.64",,,,,,"Y"
"2024-10-02","'3140XNJJ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"40225975308.57",,,,,,"Y"
"2024-10-02","'3140XMU87'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"38024667778.05",,,,,,"Y"
"2024-10-02","'3140XMNY8'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"32879660971.92",,,,,,"Y"
"2024-10-02","'3140XMNW2'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"32137192205.71",,,,,,"Y"
"2024-10-02","'3132E0JR4'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"31716946949.01",,,,,,"Y"
"2024-10-02","'3132DTNJ5'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"30171239957.18",,,,,,"Y"
"2024-10-02","'3140XMNZ5'","MBS","UMBS MORTPASS 2.5% 04/52","30yr",,,,,"29916028396.32",,,,,,"Y"
"2024-10-02","'3132DSET5'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"29257215994.67",,,,,,"Y"
"2024-10-02","'3132DSYZ9'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"29100444053.51",,,,,,"Y"
"2024-10-02","'3140XNRY2'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29051581028.76",,,,,,"Y"
"2024-10-02","'3132E0JS2'","MBS","UMBS MORTPASS 2.5% 05/52","30yr",,,,,"28016472180.74",,,,,,"Y"
"2024-10-02","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"25011820196.75",,,,,,""
"2024-10-02","'3132DSMM1'","MBS","UMBS MORTPASS 2.5% 01/51","30yr",,,,,"24383915136.32",,,,,,"Y"
"2024-10-02","'3132DWCH4'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"22892341909.09",,,,,,""
"2024-10-02","'3132DSTM4'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"22342577552.53",,,,,,"Y"
"2024-10-02","'3140XM6T8'","MBS","UMBS MORTPASS 3.5% 10/45","30yr",,,,,"21999272502.68",,,,,,"Y"
"2024-10-02","'3132DSES7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"21943284746.25",,,,,,"Y"
"2024-10-02","'3140XMNS1'","MBS","UMBS MORTPASS 2.5% 11/51","30yr",,,,,"21567717010.96",,,,,,"Y"
"2024-10-02","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"19804305758.24",,,,,,""
"2024-10-02","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"19689326950.94",,,,,,""
"2024-10-02","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"19536396452.20",,,,,,""
"2024-10-02","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"17106966566.02",,,,,,"Y"
"2024-10-02","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"16496086591.16",,,,,,""
"2024-10-02","'3140XN6Z2'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"16413518624.38",,,,,,"Y"
"2024-10-02","'3140XQCC9'","MBS","UMBS MORTPASS 4% 02/47","30yr",,,,,"16132355035.94",,,,,,"Y"
"2024-10-02","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"15566488575.43",,,,,,""
"2024-10-02","'31418DZW5'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"15439588757.07",,,,,,""
"2024-10-02","'3132DWCC5'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"14984644125.35",,,,,,""
"2024-10-02","'3132DWCN1'","MBS","UMBS MORTPASS 2% 11/51","30yr",,,,,"14714599994.69",,,,,,""
"2024-10-02","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"14413024999.05",,,,,,""
"2024-10-02","'36179WG36'","MBS","GNMA II 2.5% 06/51","30yr",,,,,"13362422526.98",,,,,,""
"2024-10-02","'31418D2M3'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"13274119257.75",,,,,,""
"2024-10-02","'3132DWCT8'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"13222395696.01",,,,,,""
"2024-10-02","'3140XNJK1'","MBS","UMBS MORTPASS 3.5% 08/52","30yr",,,,,"12894952215.49",,,,,,"Y"
"2024-10-02","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"12623336122.15",,,,,,""
"2024-10-02","'36179WFG8'","MBS","GNMA II 2.5% 05/51","30yr",,,,,"12492627177.82",,,,,,""
"2024-10-02","'3140XMU79'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"12210744671.15",,,,,,"Y"
"2024-10-02","'3132ACJ43'","MBS","UMBS MORTPASS 3% 02/47","30yr",,,,,"12151457043.42",,,,,,""
"2024-10-02","'3140XPHX0'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"12062503354.59",,,,,,"Y"
"2024-10-02","'3132AESB3'","MBS","UMBS MORTPASS 3.5% 04/45","30yr",,,,,"11909703487.85",,,,,,""
