3618AXTR3, CS5060C, 104797.00, 4, GNR 2023-130
3618AX6X5, CS5386C, 393113.00, 4, GNR 2023-130
3618AYBH2, CS5440C, 1120179.00, 4, GNR 2023-130
3618AYEK2, CS5538C, 155760.00, 4, GNR 2023-130
3618B0T52, CS6872C, 308572.00, 4, GNR 2023-130
3618B0UA9, CS6877C, 127805.00, 4, GNR 2023-130
3618B0UT8, CS6894C, 137620.00, 4, GNR 2023-130
3618BAAC5, CT4503C, 326696.00, 4, GNR 2023-130
3618BAAD3, CT4504C, 233664.00, 4, GNR 2023-130
3618BDW92, CT7872C, 66795.00, 4, GNR 2023-130
3618BEE74, CT8258C, 140139.00, 4, GNR 2023-130
3618BF4A5, CT9817C, 494813.00, 4, GNR 2023-130
3618BJJW3, CU1177C, 9608210.00, 4, GNR 2023-130
3618BMMW2, CU3973C, 145197.00, 4, GNR 2023-130
3618BYMY2, CV3075C, 68474.00, 4, GNR 2023-130
3618F0BC2, CV3635C, 2601563.00, 4, GNR 2023-130
3618F02W8, CV4389C, 3258142.00, 4, GNR 2023-130
3618F2VA0, CV6009C, 2820141.00, 4, GNR 2023-130
3618F2XA8, CV6073C, 183061.00, 4, GNR 2023-130
3618F24G7, CV6223C, 2594306.00, 4, GNR 2023-130
3618F25F8, CV6246C, 1922449.00, 4, GNR 2023-130
3618F4MR9, CV7568C, 100175.00, 4, GNR 2023-130
3618F4XZ9, CV7896C, 118251.00, 4, GNR 2023-130
3618F8QZ8, CW0472C, 4277090.00, 4, GNR 2023-130
3618FERD3, CW5884C, 5185367.00, 4, GNR 2023-130
3618FEZ69, CW6165C, 690217.00, 4, GNR 2023-130
3618FE2Q1, CW6183C, 196525.00, 4, GNR 2023-130
3618FJJD1, CW9260C, 59438.00, 4, GNR 2023-130
3618FLJG9, CX0263C, 598846.00, 4, GNR 2023-130
3618FLXS7, CX0689C, 149079.00, 4, GNR 2023-130
3618FNAZ2, CX1824C, 3159982.00, 4, GNR 2023-130
3618AECL6, CR0075C, 1250417.00, 5, GNR 2023-130
3618AS3T8, CS0810C, 1482532.00, 5, GNR 2023-130
3618ATKN0, CS1201C, 2033191.00, 5, GNR 2023-130
3618ATR78, CS1410C, 1092262.00, 5, GNR 2023-130
3618ATY39, CS1630C, 1760240.00, 5, GNR 2023-130
3618ATY47, CS1631C, 926184.00, 5, GNR 2023-130
3618AWX58, CS4300C, 635772.00, 5, GNR 2023-130
3618BHLL8, CU0331C, 18207672.00, 5, GNR 2023-130
3618BVBN4, CV0045C, 3084544.00, 5, GNR 2023-130
3618F3QW6, CV6769C, 2321743.00, 5, GNR 2023-130
3618FCFG3, CW3767C, 13799131.00, 5, GNR 2023-130
3618FCFH1, CW3768C, 3742798.00, 5, GNR 2023-130
36179XVU7, MA8727M, 16842451.00, 6, GNR 2023-130
36179X5J1, MA8949M, 9969402.00, 6, GNR 2023-130
36179YAT1, MA9018M, 26319595.00, 6, GNR 2023-130
36179YDL5, MA9107M, 20000000.00, 6, GNR 2023-130
3617YMUP5, CM2390C, 430145.00, 7, GNR 2023-130
3618BBCW7, CT5485C, 627448.00, 7, GNR 2023-130
3618BB6E4, CT6269C, 486212.00, 7, GNR 2023-130
3618BCGM3, CT6504C, 3893359.00, 7, GNR 2023-130
3618BMPJ8, CU4025C, 393261.00, 7, GNR 2023-130
3618BMSK2, CU4122C, 205284.00, 7, GNR 2023-130
3618BNJC8, CU4759C, 373320.00, 7, GNR 2023-130
3618BRRG1, CU7687C, 1507145.00, 7, GNR 2023-130
3618BRRM8, CU7692C, 1077294.00, 7, GNR 2023-130
3618BTUE8, CU9581C, 78711.00, 7, GNR 2023-130
3618BYK32, CV3014C, 127560.00, 7, GNR 2023-130
3618F2BG9, CV5439C, 1402435.00, 7, GNR 2023-130
3618F2CU7, CV5483C, 1065135.00, 7, GNR 2023-130
3618F2C78, CV5494C, 1314749.00, 7, GNR 2023-130
3618F43R0, CV8008C, 2303671.00, 7, GNR 2023-130
3618F46J5, CV8073C, 2139681.00, 7, GNR 2023-130
3618FFK54, CW6616C, 200446.00, 7, GNR 2023-130
3618FGLH5, CW7528C, 146306.00, 7, GNR 2023-130
3618FLDC4, CX0099C, 266343.00, 7, GNR 2023-130
3618FMUZ2, CX1500C, 192238.00, 7, GNR 2023-130
3618FNUJ6, CX2385C, 910513.00, 7, GNR 2023-130
3618FPDS0, CX2813C, 179293.00, 7, GNR 2023-130
3618FQLP5, CX3934C, 58969.00, 7, GNR 2023-130
3617FJ7D6, CO7192C, 109378.00, 8, GNR 2023-130
3617FKS81, CO7743C, 183723.00, 8, GNR 2023-130
3617FSXP0, CP3386C, 393054.00, 8, GNR 2023-130
3618A1C42, CP9991C, 183870.00, 8, GNR 2023-130
3618A2AH3, CQ0008C, 217668.00, 8, GNR 2023-130
3618A8QJ9, CQ5857C, 105332.00, 8, GNR 2023-130
3618A9HH1, CQ6532C, 1728889.00, 8, GNR 2023-130
3618A9H40, CQ6551C, 8517034.00, 8, GNR 2023-130
3618AAWX6, CQ7862C, 75661.00, 8, GNR 2023-130
3618ABY95, CQ8836C, 667128.00, 8, GNR 2023-130
3618AB2Y5, CQ8891C, 494595.00, 8, GNR 2023-130
3618ACVY1, CQ9631C, 158509.00, 8, GNR 2023-130
3618AE3Q5, CR0807C, 2318867.00, 8, GNR 2023-130
3618AE6G4, CR0871C, 481163.00, 8, GNR 2023-130
3618AFA76, CR0930C, 2835146.00, 8, GNR 2023-130
3618AFCG4, CR0971C, 222857.00, 8, GNR 2023-130
3618AFNN7, CR1297C, 474262.00, 8, GNR 2023-130
3618AGZS1, CR2553C, 196905.00, 8, GNR 2023-130
3618AHV79, CR3338C, 174210.00, 8, GNR 2023-130
3618AJZ63, CR4365C, 112985.00, 8, GNR 2023-130
3618AKG79, CR4722C, 132027.00, 8, GNR 2023-130
3618AKHQ6, CR4739C, 257687.00, 8, GNR 2023-130
3618AMD45, CR6423C, 105737.00, 8, GNR 2023-130
3618AMQL3, CR6759C, 280334.00, 8, GNR 2023-130
3618APHR3, CR8340C, 281991.00, 8, GNR 2023-130
3618AP5V7, CR8960C, 2320888.00, 8, GNR 2023-130
3618AQJU2, CR9275C, 278436.00, 8, GNR 2023-130
3618ASRD7, CS0484C, 669894.00, 8, GNR 2023-130
3618AUAL2, CS1811C, 1035095.00, 8, GNR 2023-130
3618AX6V9, CS5384C, 705804.00, 8, GNR 2023-130
3618AYBF6, CS5438C, 435328.00, 8, GNR 2023-130
3618B0TV5, CS6864C, 171146.00, 8, GNR 2023-130
3618B0ZH9, CS7044C, 96171.00, 8, GNR 2023-130
3618B8FH4, CT2868C, 65647.00, 8, GNR 2023-130
3618BEU27, CT8701C, 903764.00, 8, GNR 2023-130
3618BJEZ1, CU1052C, 12424326.00, 8, GNR 2023-130
3618BNJS3, CU4773C, 355633.00, 8, GNR 2023-130
3618F0WX3, CV4262C, 231192.00, 8, GNR 2023-130
3618F43Q2, CV8007C, 1321479.00, 8, GNR 2023-130
3618FMTZ4, CX1468C, 250851.00, 8, GNR 2023-130
3618B5M33, CT0378C, 1409128.00, 9, GNR 2023-130
3618BMHG3, CU3831C, 1359117.00, 9, GNR 2023-130
3618BMJY2, CU3879C, 1036800.00, 9, GNR 2023-130
3618BP2Z0, CU6192C, 1106000.00, 9, GNR 2023-130
3618BP3L0, CU6203C, 1190000.00, 9, GNR 2023-130
3618BP3Q9, CU6207C, 1331558.00, 9, GNR 2023-130
3618BP3U0, CU6211C, 1172000.00, 9, GNR 2023-130
3618BP3Y2, CU6215C, 2341379.00, 9, GNR 2023-130
3618BP3Z9, CU6216C, 1003500.00, 9, GNR 2023-130
3618BSUS9, CU8693C, 3410395.00, 9, GNR 2023-130
3618F0JW0, CV3877C, 1026000.00, 9, GNR 2023-130
3618F25J0, CV6249C, 1146201.00, 9, GNR 2023-130
3618F3T29, CV6869C, 1119566.00, 9, GNR 2023-130
3618F5YH5, CV8812C, 2222428.00, 9, GNR 2023-130
3618F5ZM3, CV8848C, 1177926.00, 9, GNR 2023-130
3618FAT56, CW2372C, 1779500.00, 9, GNR 2023-130
3618FBD51, CW2824C, 1024401.00, 9, GNR 2023-130
3618FBUD5, CW3280C, 4213177.00, 9, GNR 2023-130
3618FBUE3, CW3281C, 3027166.00, 9, GNR 2023-130
3618FBUF0, CW3282C, 1302983.00, 9, GNR 2023-130
3618FDBB6, CW4534C, 3210689.00, 9, GNR 2023-130
3618FESL4, CW5923C, 1184022.00, 9, GNR 2023-130
3618FHJX1, CW8378C, 1482644.00, 9, GNR 2023-130
3618ATDY4, CS1019C, 1088650.00, 10, GNR 2023-130
3618ATFR7, CS1076C, 1024087.00, 10, GNR 2023-130
3618BEL84, CT8451C, 12721018.00, 10, GNR 2023-130
3618BVCA1, CV0065C, 3728467.00, 10, GNR 2023-130
3618BVFD2, CV0164C, 6481502.00, 10, GNR 2023-130
3618BVGJ8, CV0201C, 1659829.00, 10, GNR 2023-130
3618BVGK5, CV0202C, 2533057.00, 10, GNR 2023-130
3618BVMH5, CV0360C, 4152123.00, 10, GNR 2023-130
3618BVQN8, CV0461C, 2943808.00, 10, GNR 2023-130
3618FDU33, CW5102C, 13886040.00, 10, GNR 2023-130
3618B5P97, CT0448C, 282274.00, 11, GNR 2023-130
3618B5SM5, CT0524C, 3359730.00, 11, GNR 2023-130
3618B56V9, CT0884C, 281517.00, 11, GNR 2023-130
3618BDG25, CT7417C, 2393953.00, 11, GNR 2023-130
3618BKTD1, CU2348C, 1894932.00, 11, GNR 2023-130
3618BLZT7, CU3454C, 1962408.00, 11, GNR 2023-130
3618BMXJ9, CU4281C, 145540.00, 11, GNR 2023-130
3618BM6Q3, CU4479C, 279719.00, 11, GNR 2023-130
3618BNT86, CU5075C, 3368147.00, 11, GNR 2023-130
3618BNVK6, CU5118C, 1670103.00, 11, GNR 2023-130
3618BTS27, CU9537C, 1118393.00, 11, GNR 2023-130
3618BWF81, CV1091C, 86922.00, 11, GNR 2023-130
3618BWLS0, CV1237C, 755884.00, 11, GNR 2023-130
3618BWWZ2, CV1564C, 4032045.00, 11, GNR 2023-130
3618BYLF4, CV3026C, 1162202.00, 11, GNR 2023-130
3618BYMN6, CV3065C, 1009441.00, 11, GNR 2023-130
3618BYZB8, CV3438C, 103486.00, 11, GNR 2023-130
3618BY6L8, CV3575C, 3550083.00, 11, GNR 2023-130
3618F0AP4, CV3614C, 1881707.00, 11, GNR 2023-130
3618F0HY8, CV3847C, 134182.00, 11, GNR 2023-130
3618F0JA8, CV3857C, 59592.00, 11, GNR 2023-130
3618F2WT8, CV6058C, 12956810.00, 11, GNR 2023-130
3618FAGK7, CW2002C, 4255808.00, 11, GNR 2023-130
3618FAGQ4, CW2007C, 4757692.00, 11, GNR 2023-130
3618FATZ0, CW2368C, 1441838.00, 11, GNR 2023-130
3618FBRK3, CW3190C, 3799773.00, 11, GNR 2023-130
3618FBRL1, CW3191C, 2885045.00, 11, GNR 2023-130
3618FBR98, CW3212C, 2623435.00, 11, GNR 2023-130
3618FBYE9, CW3409C, 1655382.00, 11, GNR 2023-130
3618FB4B8, CW3518C, 2417814.00, 11, GNR 2023-130
3618FB4D4, CW3520C, 297719.00, 11, GNR 2023-130
3618FCBV4, CW3652C, 347187.00, 11, GNR 2023-130
3618FDFU0, CW4679C, 1247877.00, 11, GNR 2023-130
3618FEJR1, CW5672C, 1169855.00, 11, GNR 2023-130
3618FELP2, CW5734C, 15008856.00, 11, GNR 2023-130
3618FFS80, CW6843C, 10488738.00, 11, GNR 2023-130
3618FFS98, CW6844C, 8291280.00, 11, GNR 2023-130
3618FFTA4, CW6845C, 32718823.00, 11, GNR 2023-130
3618FFU20, CW6901C, 25996242.00, 11, GNR 2023-130
3618FG3R3, CW8008C, 1603002.00, 11, GNR 2023-130
