36179YDN1, MA9109M, 16299821.00, 5, GNR 2023-146
36179YAV6, MA9020M, 57166670.00, 5, GNR 2023-146
36179YHU1, MA9243M, 235583583.00, 6, GNR 2023-146
36179YFN9, MA9173M, 9066797.00, 6, GNR 2023-146
36179X5K8, MA8950M, 15858622.00, 6, GNR 2023-146
36179X2N5, MA8881M, 76602407.00, 6, GNR 2023-146
36179XX84, MA8803M, 77129371.00, 6, GNR 2023-146
3618F9PX2, CW1338C, 592918.00, 7, GNR 2023-146
3618F9NY2, CW1307C, 570801.00, 7, GNR 2023-146
3618FFDA1, CW6397C, 680288.00, 7, GNR 2023-146
3618FVSG7, CX8619C, 5199369.00, 7, GNR 2023-146
3618F9NX4, CW1306C, 668148.00, 7, GNR 2023-146
3618FUV67, CX7837C, 1367320.00, 7, GNR 2023-146
3618F9QE3, CW1353C, 746457.00, 7, GNR 2023-146
3618FUV91, CX7840C, 2237055.00, 7, GNR 2023-146
3618F9NS5, CW1301C, 767497.00, 7, GNR 2023-146
3618FVSV4, CX8632C, 7877968.00, 7, GNR 2023-146
3618BJX31, CU1598C, 719905.00, 7, GNR 2023-146
3618FSME5, CX5757C, 571429.00, 7, GNR 2023-146
3618F9P38, CW1342C, 602405.00, 7, GNR 2023-146
3618F9PT1, CW1334C, 914681.00, 7, GNR 2023-146
3618F9N48, CW1311C, 863933.00, 7, GNR 2023-146
3618AUKH0, CS2096C, 742313.00, 7, GNR 2023-146
3618FSPW2, CX5837C, 745710.00, 7, GNR 2023-146
3618FNM63, CX2181C, 764095.00, 7, GNR 2023-146
3618F9PV6, CW1336C, 579048.00, 7, GNR 2023-146
3618F9PQ7, CW1331C, 785140.00, 7, GNR 2023-146
3618FFDD5, CW6400C, 1410248.00, 7, GNR 2023-146
3618F9PW4, CW1337C, 629995.00, 7, GNR 2023-146
3618FUV83, CX7839C, 1535451.00, 7, GNR 2023-146
3618FUUP6, CX7790C, 1376259.00, 7, GNR 2023-146
3618FF6S0, CW7181C, 2160052.00, 7, GNR 2023-146
3618FRYS3, CX5221C, 1796612.00, 7, GNR 2023-146
3618F9QF0, CW1354C, 545791.00, 7, GNR 2023-146
3618FUV75, CX7838C, 1299908.00, 7, GNR 2023-146
3618FRGE4, CX4697C, 868019.00, 7, GNR 2023-146
3618FN2Z1, CX2592C, 591224.00, 7, GNR 2023-146
3618FFDC7, CW6399C, 782916.00, 7, GNR 2023-146
3618F9N63, CW1313C, 765198.00, 7, GNR 2023-146
3618FTMN3, CX6665C, 538144.00, 7, GNR 2023-146
3618FSMP0, CX5766C, 579480.00, 7, GNR 2023-146
3618FFD37, CW6422C, 575368.00, 7, GNR 2023-146
3618F9P53, CW1344C, 1324994.00, 7, GNR 2023-146
3618FPL93, CX3052C, 593443.00, 7, GNR 2023-146
3618F9PU8, CW1335C, 692473.00, 7, GNR 2023-146
3618F9N71, CW1314C, 1732184.00, 7, GNR 2023-146
3618FSQU5, CX5867C, 612503.00, 7, GNR 2023-146
3618F9P61, CW1345C, 654062.00, 7, GNR 2023-146
3618F9N89, CW1315C, 810974.00, 7, GNR 2023-146
3618FSQT8, CX5866C, 582444.00, 7, GNR 2023-146
3618FNM30, CX2178C, 743413.00, 7, GNR 2023-146
3618F9PP9, CW1330C, 548834.00, 7, GNR 2023-146
3618FTMM5, CX6664C, 607190.00, 7, GNR 2023-146
3618FRYR5, CX5220C, 1982128.00, 7, GNR 2023-146
3618FRNL0, CX4895C, 590827.00, 7, GNR 2023-146
3618BJX49, CU1599C, 1452393.00, 7, GNR 2023-146
3618FFDG8, CW6403C, 1119294.00, 7, GNR 2023-146
3618F9PR5, CW1332C, 775835.00, 7, GNR 2023-146
3618F9NQ9, CW1299C, 593918.00, 7, GNR 2023-146
3618F9P46, CW1343C, 697175.00, 7, GNR 2023-146
3618FF6R2, CW7180C, 1811443.00, 7, GNR 2023-146
3618FHDU3, CW8215C, 596660.00, 7, GNR 2023-146
3618FQFM9, CX3772C, 541118.00, 7, GNR 2023-146
3618FNTS8, CX2361C, 3850775.00, 7, GNR 2023-146
3618FMU82, CX1507C, 1338061.00, 7, GNR 2023-146
3618FC5T6, CW4458C, 587922.00, 7, GNR 2023-146
3618F45M9, CV8052C, 2012272.00, 7, GNR 2023-146
3618F4CC3, CV7267C, 614930.00, 7, GNR 2023-146
3618BVYX7, CV0726C, 752627.00, 7, GNR 2023-146
3618FQFQ0, CX3775C, 585222.00, 7, GNR 2023-146
3618FHUF7, CW8682C, 744413.00, 7, GNR 2023-146
3618F9KR0, CW1204C, 1238361.00, 7, GNR 2023-146
3618F9K58, CW1216C, 879731.00, 7, GNR 2023-146
3618FPGS7, CX2909C, 1598245.00, 7, GNR 2023-146
3618FLTW3, CX0565C, 1497851.00, 7, GNR 2023-146
3618FLSK0, CX0522C, 2387592.00, 7, GNR 2023-146
3618FFX68, CW7001C, 17610148.00, 7, GNR 2023-146
3618FC5N9, CW4453C, 727411.00, 7, GNR 2023-146
3618F9JY7, CW1179C, 784942.00, 7, GNR 2023-146
3618F9JK7, CW1166C, 987364.00, 7, GNR 2023-146
3618BQQL3, CU6759C, 2200174.00, 7, GNR 2023-146
3618FNNF2, CX2190C, 867912.00, 7, GNR 2023-146
3618F9JQ4, CW1171C, 1486051.00, 7, GNR 2023-146
3618BVVJ1, CV0617C, 871295.00, 7, GNR 2023-146
3617VLET0, CD9146C, 2713892.00, 7, GNR 2023-146
3618FNNJ4, CX2193C, 659930.00, 7, GNR 2023-146
3618FHLC4, CW8423C, 548304.00, 7, GNR 2023-146
3618FP6S8, CX3581C, 2344102.00, 7, GNR 2023-146
3618FPLE2, CX3025C, 670509.00, 7, GNR 2023-146
3618FNTT6, CX2362C, 5568755.00, 7, GNR 2023-146
3618FF6E1, CW7169C, 2513477.00, 7, GNR 2023-146
3618FFX84, CW7003C, 15151384.00, 7, GNR 2023-146
3618FEA41, CW5427C, 548869.00, 7, GNR 2023-146
3618F9MU1, CW1271C, 642685.00, 7, GNR 2023-146
3618F9KW9, CW1209C, 775808.00, 7, GNR 2023-146
3618F9JN1, CW1169C, 1039607.00, 7, GNR 2023-146
3618F87G1, CW0895C, 569872.00, 7, GNR 2023-146
3618FJY51, CW9732C, 671755.00, 7, GNR 2023-146
3618FFX43, CW6999C, 15503099.00, 7, GNR 2023-146
3618FMU66, CX1505C, 679172.00, 7, GNR 2023-146
3618FF6B7, CW7166C, 1065887.00, 7, GNR 2023-146
3618BQQJ8, CU6757C, 1374319.00, 7, GNR 2023-146
3618FPLY8, CX3043C, 734268.00, 7, GNR 2023-146
3618FPLX0, CX3042C, 673273.00, 7, GNR 2023-146
3618FN4S5, CX2633C, 3131451.00, 7, GNR 2023-146
3618FJW53, CW9668C, 2097152.00, 7, GNR 2023-146
3618FHUN0, CW8689C, 2456445.00, 7, GNR 2023-146
3618F87J5, CW0897C, 997970.00, 7, GNR 2023-146
3618F8SH6, CW0520C, 581538.00, 7, GNR 2023-146
3618F3YP2, CV7018C, 1122091.00, 7, GNR 2023-146
3618FMX89, CX1603C, 578972.00, 7, GNR 2023-146
3618FGX74, CW7902C, 542485.00, 7, GNR 2023-146
3618F3YU1, CV7023C, 1540803.00, 7, GNR 2023-146
3618FQCD2, CX3668C, 786166.00, 7, GNR 2023-146
3618FN4N6, CX2629C, 8539187.00, 7, GNR 2023-146
3618FHUL4, CW8687C, 3325100.00, 7, GNR 2023-146
3618FF6A9, CW7165C, 883080.00, 7, GNR 2023-146
3618FAHN0, CW2037C, 2634046.00, 7, GNR 2023-146
3618FUGB3, CX7394C, 920874.00, 7, GNR 2023-146
3618F9KQ2, CW1203C, 679653.00, 7, GNR 2023-146
3618F9JM3, CW1168C, 867916.00, 7, GNR 2023-146
3618F9JH4, CW1164C, 1335268.00, 7, GNR 2023-146
3618F9JF8, CW1162C, 590015.00, 7, GNR 2023-146
3618F45N7, CV8053C, 1203463.00, 7, GNR 2023-146
3618F4CA7, CV7265C, 622498.00, 7, GNR 2023-146
