3618GW5X2, DA7162C, 1491894.00, 4, GNR 2024-094
3618GWFJ2, DA6469C, 1610492.00, 4, GNR 2024-094
3618GXBB1, DA7234C, 1553345.00, 4, GNR 2024-094
3618GXDB9, DA7298C, 7063155.00, 4, GNR 2024-094
3618H0Q67, DA9477C, 2826103.00, 4, GNR 2024-094
3618H0Q75, DA9478C, 2970306.00, 4, GNR 2024-094
3618H5FG6, DB2867C, 1071142.00, 4, GNR 2024-094
3618H6XP4, DB4286C, 2992246.00, 4, GNR 2024-094
3618H6XR0, DB4288C, 4073516.00, 4, GNR 2024-094
3618H6XS8, DB4289C, 2836471.00, 4, GNR 2024-094
3618H8UH1, DB5984C, 1183461.00, 4, GNR 2024-094
3618H8XS4, DB6089C, 4268605.00, 4, GNR 2024-094
3618H8XT2, DB6090C, 9136167.00, 4, GNR 2024-094
3618H9N79, DB6714C, 2614428.00, 4, GNR 2024-094
3618HAWX9, DB7862C, 1101822.00, 4, GNR 2024-094
3618HAWY7, DB7863C, 1020632.00, 4, GNR 2024-094
3618HAWZ4, DB7864C, 2925163.00, 4, GNR 2024-094
3618HBGE7, DB8297C, 1015457.00, 4, GNR 2024-094
3618HBGX5, DB8314C, 1631433.00, 4, GNR 2024-094
3618HBQL0, DB8559C, 2077964.00, 4, GNR 2024-094
3618HBU27, DB8701C, 2596888.00, 4, GNR 2024-094
3618HCPB1, DB9418C, 12559698.00, 4, GNR 2024-094
3618HCPQ8, DB9431C, 1058363.00, 4, GNR 2024-094
3618HCQE4, DB9453C, 1103567.00, 4, GNR 2024-094
3618HCQG9, DB9455C, 1500000.00, 4, GNR 2024-094
3618HF2F0, DC1674C, 1036000.00, 4, GNR 2024-094
3618HFWM2, DC1552C, 1494745.00, 4, GNR 2024-094
3618HGFY3, DC1983C, 1984233.00, 4, GNR 2024-094
3618HGL26, DC2145C, 561980.00, 4, GNR 2024-094
3618HGLU4, DC2139C, 662202.00, 4, GNR 2024-094
3618HGLY6, DC2143C, 899074.00, 4, GNR 2024-094
3618HGLZ3, DC2144C, 781364.00, 4, GNR 2024-094
3618HJS23, DC4137C, 4000000.00, 4, GNR 2024-094
3618HJSY3, DC4135C, 4000000.00, 4, GNR 2024-094
3618HJSZ0, DC4136C, 4000000.00, 4, GNR 2024-094
3618HK7D9, DC5392C, 1083857.00, 4, GNR 2024-094
3618HKGG2, DC4699C, 68023.00, 4, GNR 2024-094
3618HKY98, DC5236C, 2978159.00, 4, GNR 2024-094
3618HL6D8, DC6268C, 1335830.00, 4, GNR 2024-094
3618HLCH2, DC5472C, 617031.00, 4, GNR 2024-094
3618HLQ46, DC5875C, 2769919.00, 4, GNR 2024-094
3618HLQH7, DC5856C, 2808375.00, 4, GNR 2024-094
3618HMB65, DC6361C, 3080672.00, 4, GNR 2024-094
3618HMB73, DC6362C, 1849488.00, 4, GNR 2024-094
3618HMB81, DC6363C, 3738532.00, 4, GNR 2024-094
3618HMHP7, DC6538C, 19872048.00, 4, GNR 2024-094
3618HNEC7, DC7331C, 2268755.00, 4, GNR 2024-094
3618HNED5, DC7332C, 3588171.00, 4, GNR 2024-094
3618HNM79, DC7582C, 1238702.00, 4, GNR 2024-094
3618HNM87, DC7583C, 1006219.00, 4, GNR 2024-094
3618HNP35, DC7642C, 1050091.00, 4, GNR 2024-094
3618HNP43, DC7643C, 1012902.00, 4, GNR 2024-094
3618HNPZ4, DC7640C, 1092023.00, 4, GNR 2024-094
3618HNQ75, DC7678C, 1901557.00, 4, GNR 2024-094
3618HNQ83, DC7679C, 1155301.00, 4, GNR 2024-094
3618HNQ91, DC7680C, 1113279.00, 4, GNR 2024-094
3618HPBH4, DC8140C, 2795973.00, 4, GNR 2024-094
3618HPBJ0, DC8141C, 2953615.00, 4, GNR 2024-094
3618HPBK7, DC8142C, 3604946.00, 4, GNR 2024-094
3618HSE28, DD0153C, 1298511.00, 4, GNR 2024-094
3618HSE77, DD0158C, 1154381.00, 4, GNR 2024-094
3618HSEX0, DD0150C, 1487565.00, 4, GNR 2024-094
3618HSNF9, DD0390C, 3439249.00, 4, GNR 2024-094
3618HSNH5, DD0392C, 2462215.00, 4, GNR 2024-094
3618HUUR0, DD2392C, 863686.00, 4, GNR 2024-094
38384GYM6, GN-2023-184-C, 5020040.00, 5, GNR 2024-094
38383L7A2, GN-2022-218-DZ, 1401551.00, 6A, GNR 2024-094
38384GU81, GN-2024-003-AZ, 3009824.00, 6A, GNR 2024-094
38384JV43, GN-2024-024-DZ, 1540512.00, 6A, GNR 2024-094
38384GLW8, GN-2023-189-E, 3857895.00, 6B, GNR 2024-094
36179YW75, MA9670M, 100223552.00, 7, GNR 2024-094
38383UEB2, GN-2022-127-TA, 12702302.00, 8, GNR 2024-094
38383YPJ5, GN-2022-159-H, 11668000.00, 8, GNR 2024-094
38383YH54, GN-2022-171-KA, 18460000.00, 8, GNR 2024-094
38383VQN1, GN-2023-032-BH, 11236000.00, 8, GNR 2024-094
3618G2F25, CY2885C, 2541661.00, 9, GNR 2024-094
3618GCQL9, CZ1359C, 2277998.00, 9, GNR 2024-094
3618GDX96, CZ2504C, 3960146.00, 9, GNR 2024-094
3618GUS60, DA5041C, 8615471.00, 9, GNR 2024-094
3618GUSB9, DA5014C, 1922235.00, 9, GNR 2024-094
3618GUSC7, DA5015C, 1276991.00, 9, GNR 2024-094
3618H2RU9, DB0499C, 2751442.00, 9, GNR 2024-094
3618H4XH7, DB2480C, 1010262.00, 9, GNR 2024-094
3618H4XJ3, DB2481C, 1062399.00, 9, GNR 2024-094
3618HBRE5, DB8585C, 4084213.00, 9, GNR 2024-094
3618HFRB2, DC1382C, 2326572.00, 9, GNR 2024-094
3618HFRK2, DC1390C, 19500409.00, 9, GNR 2024-094
3618HFSP0, DC1426C, 4115918.00, 9, GNR 2024-094
3618HFTR5, DC1460C, 38122900.00, 9, GNR 2024-094
3618HKEW9, DC4649C, 24458817.00, 9, GNR 2024-094
36179YYV0, MA9724M, 50000.00, T, GNR 2024-094
3618HDCC1, DB9967C, 17009247.00, 1A, GNR 2024-095
3618HDCD9, DB9968C, 13426967.00, 1A, GNR 2024-095
3618HDCL1, DB9975C, 4122858.00, 1A, GNR 2024-095
3618HDCM9, DB9976C, 4104194.00, 1A, GNR 2024-095
3618HDCN7, DB9977C, 2910523.00, 1A, GNR 2024-095
3618HDCP2, DB9978C, 1440603.00, 1A, GNR 2024-095
3618GCQB1, CZ1350C, 1889793.00, 1B, GNR 2024-095
3618GCSJ2, CZ1421C, 2067485.00, 1B, GNR 2024-095
3618GCSK9, CZ1422C, 3421780.00, 1B, GNR 2024-095
3618GQB67, DA0961C, 1451420.00, 1B, GNR 2024-095
3618GQC33, DA0990C, 1147544.00, 1B, GNR 2024-095
3618H7FV9, DB4680C, 3735891.00, 1B, GNR 2024-095
3618H95Y0, DB7163C, 1292109.00, 1B, GNR 2024-095
3618H96U7, DB7183C, 1731874.00, 1B, GNR 2024-095
3618HFV92, DC1540C, 2498103.00, 1B, GNR 2024-095
3618HFXY5, DC1595C, 6070508.00, 1B, GNR 2024-095
3618HFYG3, DC1611C, 1775180.00, 1B, GNR 2024-095
3618HFZ80, DC1667C, 1075067.00, 1B, GNR 2024-095
3618HKGM9, DC4704C, 1994299.00, 1B, GNR 2024-095
3618HKU84, DC5107C, 3147219.00, 1B, GNR 2024-095
3618HME96, DC6460C, 6424857.00, 1B, GNR 2024-095
3618HNLL9, DC7531C, 1578886.00, 1B, GNR 2024-095
3618HNPR2, DC7632C, 2007828.00, 1B, GNR 2024-095
3618HNRW9, DC7701C, 3371161.00, 1B, GNR 2024-095
3618HSFS0, DD0177C, 1261780.00, 1B, GNR 2024-095
3618HSFU5, DD0179C, 1585304.00, 1B, GNR 2024-095
3618HDBJ7, DB9941C, 1653093.00, 1C, GNR 2024-095
3618H5UK0, DB3286C, 3090732.00, 1C, GNR 2024-095
3618HBT86, DB8675C, 2807697.00, 1C, GNR 2024-095
3618HCPT2, DB9434C, 1212668.00, 1C, GNR 2024-095
3618HB6M0, DB8976C, 1041381.00, 1C, GNR 2024-095
3618H04A2, DA9817C, 2023246.00, 1C, GNR 2024-095
3618H95X2, DB7162C, 1312289.00, 1C, GNR 2024-095
3618HKGL1, DC4703C, 1193479.00, 1C, GNR 2024-095
3618G0TE8, CY1449C, 715236.00, 1C, GNR 2024-095
3618H4W54, DB2468C, 435634.00, 1C, GNR 2024-095
3618GC4R0, CZ1732C, 584589.00, 1C, GNR 2024-095
3618HB6L2, DB8975C, 1029422.00, 1C, GNR 2024-095
3618GP5K5, DA0850C, 1385223.00, 1C, GNR 2024-095
3618H9L97, DB6652C, 1690184.00, 1C, GNR 2024-095
3618GP4P5, DA0830C, 1071174.00, 1C, GNR 2024-095
3618GYJL9, DA8367C, 1566101.00, 1C, GNR 2024-095
3618HCPR6, DB9432C, 1303604.00, 1C, GNR 2024-095
3618H03Y1, DA9815C, 2504525.00, 1C, GNR 2024-095
3618GP5L3, DA0851C, 1061832.00, 1C, GNR 2024-095
3618H2UK7, DB0586C, 1011768.00, 1C, GNR 2024-095
3618GP4F7, DA0822C, 2181896.00, 1C, GNR 2024-095
3618HBT78, DB8674C, 2348350.00, 1C, GNR 2024-095
3618H0JK4, DA9266C, 1283948.00, 1C, GNR 2024-095
3618FTXJ0, CX6981C, 1999912.00, 1D, GNR 2024-095
3618HFQK3, DC1358C, 1143942.00, 1D, GNR 2024-095
3618FYRS6, CY0497C, 1472441.00, 1D, GNR 2024-095
36179YPK4, MA9426M, 16405315.00, 2, GNR 2024-095
36179YKV5, MA9308M, 4037752.00, 2, GNR 2024-095
3618H8ZK9, DB6146C, 15468519.00, 3, GNR 2024-095
3618HFXF6, DC1578C, 10459482.00, 3, GNR 2024-095
3618HMEA3, DC6429C, 14709343.00, 3, GNR 2024-095
3618HMEB1, DC6430C, 24676748.00, 3, GNR 2024-095
3618HNQV2, DC7668C, 1589309.00, 3, GNR 2024-095
3618HNR25, DC7705C, 2530497.00, 3, GNR 2024-095
3618HNUB1, DC7778C, 2672726.00, 3, GNR 2024-095
36179YPK4, MA9426M, 246041935.00, 4, GNR 2024-095
36179YKV5, MA9308M, 60604282.00, 4, GNR 2024-095
3618G4BR0, CY4548C, 2140556.00, 5, GNR 2024-095
3618HEQR1, DC0464C, 4007822.00, 5, GNR 2024-095
3618GVKD1, DA5692C, 1813375.00, 5, GNR 2024-095
3618HFYE8, DC1609C, 1127253.00, 5, GNR 2024-095
3618HHAJ9, DC2709C, 3207465.00, 5, GNR 2024-095
3618GBMF8, CZ0358C, 1019281.00, 5, GNR 2024-095
3618FSA32, CX5426C, 1034000.00, 5, GNR 2024-095
3618GRCD9, DA1868C, 13056149.00, 5, GNR 2024-095
3618H4JD2, DB2060C, 7349719.00, 5, GNR 2024-095
3618H27D9, DB0892C, 2347000.00, 5, GNR 2024-095
3618GYM50, DA8480C, 4866127.00, 5, GNR 2024-095
3618H9YW2, DB7025C, 4480912.00, 5, GNR 2024-095
3618H82N9, DB6181C, 5815747.00, 5, GNR 2024-095
36179YMM3, MA9364M, 1938996.00, 6, GNR 2024-095
36179YRK2, MA9490M, 72831.00, 6, GNR 2024-095
36179YPJ7, MA9425M, 674900.00, 6, GNR 2024-095
36179YRK2, MA9490M, 16490123.00, 6, GNR 2024-095
36179YS88, MA9543M, 18133353.00, 6, GNR 2024-095
36179YW75, MA9670M, 63292483.00, 6, GNR 2024-095
3618HBU35, DB8702C, 3963024.00, 7, GNR 2024-095
3618GRUS6, DA2393C, 101814.00, 7, GNR 2024-095
3618GPYE7, DA0709C, 226748.00, 7, GNR 2024-095
3618GGFC2, CZ4663C, 2208.00, 7, GNR 2024-095
3618GR4Y2, DA2639C, 1640.00, 7, GNR 2024-095
3618HLRC7, DC5883C, 3408253.00, 7, GNR 2024-095
3618FYR72, CY0510C, 1990.00, 7, GNR 2024-095
3618GP4X8, DA0838C, 145684.00, 7, GNR 2024-095
3618H7H70, DB4754C, 100602.00, 7, GNR 2024-095
3618HFWH3, DC1548C, 1566836.00, 7, GNR 2024-095
