"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-07-03","'3140XMNV4'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"60781310786.40",,,,,,"Y"
"2024-07-03","'3140XMNU6'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"54265721972.34",,,,,,"Y"
"2024-07-03","'3140XMU61'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"51849828108.91",,,,,,"Y"
"2024-07-03","'3140XMNR3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"46192748596.71",,,,,,"Y"
"2024-07-03","'3140XNJJ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"40922516880.35",,,,,,"Y"
"2024-07-03","'3140XMU87'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"38699365353.10",,,,,,"Y"
"2024-07-03","'3140XMNY8'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"33581930612.43",,,,,,"Y"
"2024-07-03","'3140XMNW2'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"32813327595.00",,,,,,"Y"
"2024-07-03","'3132E0JR4'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"32401128416.91",,,,,,"Y"
"2024-07-03","'3140XMNZ5'","MBS","UMBS MORTPASS 2.5% 04/52","30yr",,,,,"30512450508.48",,,,,,"Y"
"2024-07-03","'3132DSET5'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"29867323176.75",,,,,,"Y"
"2024-07-03","'3132DSYZ9'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"29689712568.74",,,,,,"Y"
"2024-07-03","'3140XNRY2'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29595173756.55",,,,,,"Y"
"2024-07-03","'3132E0JS2'","MBS","UMBS MORTPASS 2.5% 05/52","30yr",,,,,"28565858392.54",,,,,,"Y"
"2024-07-03","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"27299614178.91",,,,,,""
"2024-07-03","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"25499455743.81",,,,,,""
"2024-07-03","'3132DSMM1'","MBS","UMBS MORTPASS 2.5% 01/51","30yr",,,,,"24896271544.29",,,,,,"Y"
"2024-07-03","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"23441750007.95",,,,,,""
"2024-07-03","'3132DWCH4'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"23292606080.12",,,,,,""
"2024-07-03","'3132DSTM4'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"22711811820.34",,,,,,"Y"
"2024-07-03","'3140XM6T8'","MBS","UMBS MORTPASS 3.5% 10/45","30yr",,,,,"22587333785.97",,,,,,"Y"
"2024-07-03","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"22392115547.77",,,,,,""
"2024-07-03","'3132DSES7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"22320707320.86",,,,,,"Y"
