"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-09-04","'3140XMNV4'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"60029420162.16",,,,,,"Y"
"2024-09-04","'3140XMNU6'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"53633041536.58",,,,,,"Y"
"2024-09-04","'3140XMU61'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"51221526659.79",,,,,,"Y"
"2024-09-04","'3132DTVG2'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"49638981134.55",,,,,,"Y"
"2024-09-04","'3140XMNR3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"45548134180.03",,,,,,"Y"
"2024-09-04","'3140XNJJ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"40454304247.66",,,,,,"Y"
"2024-09-04","'3140XMU87'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"38243266657.96",,,,,,"Y"
"2024-09-04","'3140XMNY8'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"33111785654.55",,,,,,"Y"
"2024-09-04","'3140XMNW2'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"32359215010.44",,,,,,"Y"
"2024-09-04","'3132E0JR4'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"31934796499.08",,,,,,"Y"
"2024-09-04","'3132DTNJ5'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"30351715502.88",,,,,,"Y"
"2024-09-04","'3140XMNZ5'","MBS","UMBS MORTPASS 2.5% 04/52","30yr",,,,,"30116412390.84",,,,,,"Y"
"2024-09-04","'3132DSET5'","MBS","UMBS MORTPASS 2.5% 02/52","30yr",,,,,"29463660744.62",,,,,,"Y"
"2024-09-04","'3132DSYZ9'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"29292412221.43",,,,,,"Y"
"2024-09-04","'3140XNRY2'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29228260737.46",,,,,,"Y"
"2024-09-04","'3132E0JS2'","MBS","UMBS MORTPASS 2.5% 05/52","30yr",,,,,"28204660693.66",,,,,,"Y"
"2024-09-04","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"26957750882.44",,,,,,""
"2024-09-04","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"25158941744.19",,,,,,""
"2024-09-04","'3132DSMM1'","MBS","UMBS MORTPASS 2.5% 01/51","30yr",,,,,"24543606322.69",,,,,,"Y"
"2024-09-04","'3132DWCH4'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"23025548009.97",,,,,,""
"2024-09-04","'3132DSTM4'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"22463828842.99",,,,,,"Y"
"2024-09-04","'3140XM6T8'","MBS","UMBS MORTPASS 3.5% 10/45","30yr",,,,,"22196900419.15",,,,,,"Y"
"2024-09-04","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"22124835947.89",,,,,,""
"2024-09-04","'3132DSES7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"22064515165.03",,,,,,"Y"
"2024-09-04","'3140XMNS1'","MBS","UMBS MORTPASS 2.5% 11/51","30yr",,,,,"21717742837.65",,,,,,"Y"
"2024-09-04","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"19922924201.34",,,,,,""
"2024-09-04","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"19806826378.16",,,,,,""
"2024-09-04","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"19649600234.30",,,,,,""
"2024-09-04","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"17241635304.13",,,,,,"Y"
"2024-09-04","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"16871537742.42",,,,,,""
"2024-09-04","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"16598730849.67",,,,,,""
"2024-09-04","'3140XN6Z2'","MBS","UMBS MORTPASS 2% 04/52","30yr",,,,,"16502400240.26",,,,,,"Y"
"2024-09-04","'3140XQCC9'","MBS","UMBS MORTPASS 4% 02/47","30yr",,,,,"16297127470.74",,,,,,"Y"
"2024-09-04","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"15685657276.29",,,,,,""
"2024-09-04","'31418DZW5'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"15540456038.04",,,,,,""
"2024-09-04","'3132DWCC5'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"15085434992.99",,,,,,""
"2024-09-04","'3132DWCN1'","MBS","UMBS MORTPASS 2% 11/51","30yr",,,,,"14800100364.89",,,,,,""
"2024-09-04","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"14523837279.00",,,,,,""
"2024-09-04","'36179WG36'","MBS","GNMA II 2.5% 06/51","30yr",,,,,"13473723989.51",,,,,,""
"2024-09-04","'31418D2M3'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"13366058731.84",,,,,,""
"2024-09-04","'3132DWCT8'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"13304530700.69",,,,,,""
"2024-09-04","'3140XNJK1'","MBS","UMBS MORTPASS 3.5% 08/52","30yr",,,,,"12976468915.14",,,,,,"Y"
"2024-09-04","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"12715924825.27",,,,,,""
"2024-09-04","'36179WFG8'","MBS","GNMA II 2.5% 05/51","30yr",,,,,"12589278959.80",,,,,,""
"2024-09-04","'3140XMU79'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"12299324619.53",,,,,,"Y"
"2024-09-04","'3132ACJ43'","MBS","UMBS MORTPASS 3% 02/47","30yr",,,,,"12244995049.17",,,,,,""
"2024-09-04","'3140XPHX0'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"12161709613.52",,,,,,"Y"
"2024-09-04","'3132AESB3'","MBS","UMBS MORTPASS 3.5% 04/45","30yr",,,,,"12015790403.31",,,,,,""
"2024-09-04","'3132DTGX2'","MBS","UMBS MORTPASS 1.5% 02/51","30yr",,,,,"11727051231.48",,,,,,"Y"
"2024-09-04","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"11671254445.77",,,,,,""
"2024-09-04","'3140XN7A6'","MBS","UMBS MORTPASS 2% 01/36","15yr",,,,,"11419690364.50",,,,,,"Y"
"2024-09-04","'36179VZQ6'","MBS","GNMA II MORTPASS 2% 12/50","30yr",,,,,"11366703174.24",,,,,,""
"2024-09-04","'36179V4U1'","MBS","GNMA II MORTPASS 2% 01/51","30yr",,,,,"11353343236.38",,,,,,""
"2024-09-04","'3132DWCZ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"11171420369.12",,,,,,""
"2024-09-04","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"11141711008.01",,,,,,"Y"
"2024-09-04","'3132E0QH8'","MBS","UMBS 3.0%","30yr",,,,,"10788577434.54",,,,,,"Y"
"2024-09-04","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"10594061046.14",,,,,,"Y"
"2024-09-04","'3140XMU95'","MBS","UMBS MORTPASS 4% 08/52","30yr",,,,,"10533966222.89",,,,,,"Y"
"2024-09-04","'3132DWB69'","MBS","UMBS MORTPASS 2.5% 08/51","30yr",,,,,"10182203126.36",,,,,,""
"2024-09-04","'3140XNSM7'","MBS","UMBS MORTPASS 1.5% 02/37","15yr",,,,,"10107194087.07",,,,,,"Y"
"2024-09-04","'36179WRZ3'","MBS","GNMA II MORTPASS 2% 11/51","30yr",,,,,"10082729566.47",,,,,,""
"2024-09-04","'36179WND6'","MBS","GNMA II MORTPASS 2% 09/51","30yr",,,,,"10055676132.07",,,,,,""
"2024-09-04","'3140XPQV4'","MBS","UMBS MORTPASS 1.5% 05/51","30yr",,,,,"9968485233.72",,,,,,"Y"
"2024-09-04","'3140XNSN5'","MBS","UMBS MORTPASS 3% 04/52","30yr",,,,,"9797176776.72",,,,,,"Y"
"2024-09-04","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"9705734071.75",,,,,,""
"2024-09-04","'3132DSY22'","MBS","UMBS MORTPASS 3.5% 08/52","30yr",,,,,"9674826385.09",,,,,,"Y"
"2024-09-04","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"9475765082.89",,,,,,"Y"
"2024-09-04","'3132DWCJ0'","MBS","UMBS MORTPASS 2.5% 10/51","30yr",,,,,"9112345915.45",,,,,,""
"2024-09-04","'36179VZR4'","MBS","GNMA II 2.5% 12/50","30yr",,,,,"8962651249.89",,,,,,""
"2024-09-04","'36179VXX3'","MBS","GNMA II MORTPASS 2% 11/50","30yr",,,,,"8746461088.20",,,,,,""
"2024-09-04","'3132CXJG8'","MBS","UMBS MORTPASS 1.5% 02/36","15yr",,,,,"8660477773.74",,,,,,"Y"
"2024-09-04","'3140XMNT9'","MBS","UMBS MORTPASS 3% 06/50","30yr",,,,,"8651708108.44",,,,,,"Y"
"2024-09-04","'3140XPHW2'","MBS","UMBS MORTPASS 2% 03/36","15yr",,,,,"8448957876.99",,,,,,"Y"
"2024-09-04","'36179WP93'","MBS","GNMA II MORTPASS 2% 10/51","30yr",,,,,"8412852101.88",,,,,,""
"2024-09-04","'3132DSML3'","MBS","UMBS MORTPASS 2.5% 03/51","30yr",,,,,"8354943335.56",,,,,,"Y"
"2024-09-04","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"8316152390.81",,,,,,""
"2024-09-04","'3140XPHT9'","MBS","UMBS MORTPASS 1.5% 10/36","15yr",,,,,"8235902550.71",,,,,,"Y"
"2024-09-04","'3132CXKE1'","MBS","UMBS MORTPASS 1.5% 07/36","15yr",,,,,"8070515521.51",,,,,,"Y"
"2024-09-04","'36179WJR0'","MBS","GNMA II 2.5% 07/51","30yr",,,,,"7977123778.39",,,,,,""
"2024-09-04","'36179V4V9'","MBS","GNMA II 2.5% 01/51","30yr",,,,,"7899007387.58",,,,,,""
"2024-09-04","'3140XPQU6'","MBS","UMBS MORTPASS 1.5% 09/36","15yr",,,,,"7891193218.94",,,,,,"Y"
"2024-09-04","'36179WJQ2'","MBS","GNMA II MORTPASS 2% 07/51","30yr",,,,,"7854491419.18",,,,,,""
