3618AXUP5, CS5090C, 1250316.00, 3, GNR 2023-017
3618AX7F3, CS5394C, 3205072.00, 3, GNR 2023-017
3618AYE48, CS5555C, 1088628.00, 3, GNR 2023-017
3618AYE89, CS5559C, 1430254.00, 3, GNR 2023-017
3618B0N58, CS6712C, 1724506.00, 3, GNR 2023-017
3618B0PQ0, CS6731C, 2623600.00, 3, GNR 2023-017
3618B0PR8, CS6732C, 2592293.00, 3, GNR 2023-017
3618B0UD3, CS6880C, 1171281.00, 3, GNR 2023-017
3618B3BQ9, CS9047C, 2400033.00, 3, GNR 2023-017
3618B3BR7, CS9048C, 1528089.00, 3, GNR 2023-017
3618B6ND8, CT1288C, 1029106.00, 3, GNR 2023-017
36179XQX7, MA8570M, 205169371.00, 4, GNR 2023-017
3617F2T23, CN3269C, 2007099.00, 5A, GNR 2023-017
3617F2T80, CN3275C, 2021147.00, 5A, GNR 2023-017
3617F2UE5, CN3281C, 2023374.00, 5A, GNR 2023-017
3617F2UJ4, CN3285C, 2022276.00, 5A, GNR 2023-017
3617F2UM7, CN3288C, 2003127.00, 5A, GNR 2023-017
3617FU2H7, CP5276C, 1256571.00, 5A, GNR 2023-017
3617FW3N9, CP7105C, 2031426.00, 5A, GNR 2023-017
3617FW3R0, CP7108C, 2004079.00, 5A, GNR 2023-017
3617FW3V1, CP7112C, 2018252.00, 5A, GNR 2023-017
3618A0Y57, CP9732C, 2041930.00, 5A, GNR 2023-017
3618A0Y65, CP9733C, 6301206.00, 5A, GNR 2023-017
3618A3A32, CQ0926C, 22322562.00, 5A, GNR 2023-017
3618AESP0, CR0526C, 1413868.00, 5A, GNR 2023-017
3618AQ2A4, CR9769C, 931428.00, 5A, GNR 2023-017
3618AYYW4, CS6125C, 1258574.00, 5A, GNR 2023-017
3617YYTD8, CN1448C, 6530002.00, 5B, GNR 2023-017
3617FMBF9, CO9038C, 13283067.00, 5B, GNR 2023-017
3617YSEM7, CM6440C, 453912.00, 6, GNR 2023-017
3617F4YN7, CN5217C, 3443874.00, 6, GNR 2023-017
3617F4ZW6, CN5257C, 1252083.00, 6, GNR 2023-017
3617F9T51, CN9572C, 465257.00, 6, GNR 2023-017
3617F9UF7, CN9582C, 634230.00, 6, GNR 2023-017
3617FDQA4, CO2249C, 586831.00, 6, GNR 2023-017
3617FJGZ7, CO6516C, 1284285.00, 6, GNR 2023-017
3617FMMN0, CO9365C, 572436.00, 6, GNR 2023-017
3617FMZU0, CO9755C, 1406827.00, 6, GNR 2023-017
3617FM3Y7, CO9815C, 810997.00, 6, GNR 2023-017
3617FPWP7, CP0654C, 491704.00, 6, GNR 2023-017
3617FQKU7, CP1207C, 760143.00, 6, GNR 2023-017
3617FQKV5, CP1208C, 438084.00, 6, GNR 2023-017
3617FTK31, CP3914C, 581319.00, 6, GNR 2023-017
3617FTNP9, CP3998C, 2308989.00, 6, GNR 2023-017
3617FTNQ7, CP3999C, 2879324.00, 6, GNR 2023-017
3617FUZC2, CP5239C, 995992.00, 6, GNR 2023-017
3617FWYS4, CP7021C, 676257.00, 6, GNR 2023-017
3617FWYT2, CP7022C, 459501.00, 6, GNR 2023-017
3617FXEM7, CP7340C, 530865.00, 6, GNR 2023-017
3617FXEN5, CP7341C, 517907.00, 6, GNR 2023-017
3617FXE54, CP7356C, 613463.00, 6, GNR 2023-017
3617FXFK0, CP7370C, 1030943.00, 6, GNR 2023-017
3617FXGU7, CP7411C, 461723.00, 6, GNR 2023-017
3617FXGV5, CP7412C, 681813.00, 6, GNR 2023-017
3617FXG60, CP7421C, 425429.00, 6, GNR 2023-017
3617FYDC8, CP8199C, 1283507.00, 6, GNR 2023-017
3617FYDD6, CP8200C, 979278.00, 6, GNR 2023-017
3617FYYD3, CP8808C, 580353.00, 6, GNR 2023-017
3617FY2W6, CP8889C, 439968.00, 6, GNR 2023-017
3618A0BU7, CP9051C, 467799.00, 6, GNR 2023-017
3618A0PB4, CP9418C, 4616938.00, 6, GNR 2023-017
3618A0PC2, CP9419C, 7614827.00, 6, GNR 2023-017
3618A2DU1, CQ0115C, 743787.00, 6, GNR 2023-017
3618A2DV9, CQ0116C, 781994.00, 6, GNR 2023-017
3618A3F52, CQ1088C, 2118349.00, 6, GNR 2023-017
3618A3PE2, CQ1321C, 1288191.00, 6, GNR 2023-017
3618A3QE1, CQ1353C, 1697272.00, 6, GNR 2023-017
3618A3QW1, CQ1369C, 3005079.00, 6, GNR 2023-017
3618A3RL4, CQ1391C, 866739.00, 6, GNR 2023-017
3618A4CP9, CQ1878C, 746935.00, 6, GNR 2023-017
3618A4YM2, CQ2516C, 545219.00, 6, GNR 2023-017
3618A4YN0, CQ2517C, 480784.00, 6, GNR 2023-017
